sep=;
Time;cpu/usage_rate.sum;cpu/request.sum;performance.gold.users
2019-08-05T19:52:50.000Z;10;null;null
2019-08-05T19:53:00.000Z;87;null;null
2019-08-05T19:53:10.000Z;254;null;null
2019-08-05T19:53:20.000Z;227;null;null
2019-08-05T19:53:30.000Z;249;null;null
2019-08-05T19:53:40.000Z;224;null;1
2019-08-05T19:53:50.000Z;450;null;1
2019-08-05T19:54:00.000Z;232;null;1
2019-08-05T19:54:10.000Z;627;null;1
2019-08-05T19:54:20.000Z;765;null;1
2019-08-05T19:54:30.000Z;747;null;1
2019-08-05T19:54:40.000Z;233;null;1
2019-08-05T19:54:50.000Z;933;null;1
2019-08-05T19:55:00.000Z;953;null;1
2019-08-05T19:55:10.000Z;915;251;2
2019-08-05T19:55:20.000Z;1016;null;2
2019-08-05T19:55:30.000Z;915;null;2
2019-08-05T19:55:40.000Z;964;null;3
2019-08-05T19:55:50.000Z;246;null;3
2019-08-05T19:56:00.000Z;910;null;3
2019-08-05T19:56:10.000Z;757;null;4
2019-08-05T19:56:20.000Z;738;null;4
2019-08-05T19:56:30.000Z;729;null;4
2019-08-05T19:56:40.000Z;334;null;5
2019-08-05T19:56:50.000Z;340;null;5
2019-08-05T19:57:00.000Z;120;null;5
2019-08-05T19:57:10.000Z;65;null;5
2019-08-05T19:57:20.000Z;192;null;5
2019-08-05T19:57:30.000Z;246;null;5
2019-08-05T19:57:40.000Z;458;251;5
2019-08-05T19:57:50.000Z;245;null;5
2019-08-05T19:58:00.000Z;927;null;5
2019-08-05T19:58:10.000Z;583;null;5
2019-08-05T19:58:20.000Z;547;null;5
2019-08-05T19:58:30.000Z;621;null;5
2019-08-05T19:58:40.000Z;923;null;4
2019-08-05T19:58:50.000Z;914;null;4
2019-08-05T19:59:00.000Z;1715;null;4
2019-08-05T19:59:10.000Z;1748;null;4
2019-08-05T19:59:20.000Z;1699;null;3
2019-08-05T19:59:30.000Z;1718;null;3
2019-08-05T19:59:40.000Z;1731;null;2
2019-08-05T19:59:50.000Z;1740;null;2
2019-08-05T20:00:00.000Z;1610;null;2
2019-08-05T20:00:10.000Z;1748;250;1
2019-08-05T20:00:20.000Z;1735;null;1
2019-08-05T20:00:30.000Z;1603;null;1
2019-08-05T20:00:40.000Z;732;null;1
2019-08-05T20:00:50.000Z;1718;null;1
2019-08-05T20:01:00.000Z;775;null;1
2019-08-05T20:01:10.000Z;642;null;1
2019-08-05T20:01:20.000Z;330;null;1
2019-08-05T20:01:30.000Z;523;null;1
2019-08-05T20:01:40.000Z;101;null;1
2019-08-05T20:01:50.000Z;116;null;2
2019-08-05T20:02:00.000Z;59;null;2
2019-08-05T20:02:10.000Z;127;null;2
2019-08-05T20:02:20.000Z;251;null;3
2019-08-05T20:02:30.000Z;236;null;3
2019-08-05T20:02:40.000Z;226;250;3
2019-08-05T20:02:50.000Z;247;null;4
2019-08-05T20:03:00.000Z;242;null;4
2019-08-05T20:03:10.000Z;437;null;5
2019-08-05T20:03:20.000Z;458;null;5
2019-08-05T20:03:30.000Z;884;null;5
2019-08-05T20:03:40.000Z;683;null;5
2019-08-05T20:03:50.000Z;734;null;10
2019-08-05T20:04:00.000Z;779;null;10
2019-08-05T20:04:10.000Z;974;null;10
2019-08-05T20:04:20.000Z;974;null;10
2019-08-05T20:04:30.000Z;897;null;10
2019-08-05T20:04:40.000Z;734;null;10
2019-08-05T20:04:50.000Z;913;null;10
2019-08-05T20:05:00.000Z;995;null;10
2019-08-05T20:05:10.000Z;241;250;10
2019-08-05T20:05:20.000Z;911;null;10
2019-08-05T20:05:30.000Z;932;null;10
2019-08-05T20:05:40.000Z;706;null;10
