sep=;
Time;performance.gold.rps;performance.gold.latency
2019-08-05T19:52:50.000Z;null;null
2019-08-05T19:53:00.000Z;null;null
2019-08-05T19:53:10.000Z;null;null
2019-08-05T19:53:20.000Z;null;null
2019-08-05T19:53:30.000Z;null;null
2019-08-05T19:53:40.000Z;0;0
2019-08-05T19:53:50.000Z;0;null
2019-08-05T19:54:00.000Z;0;null
2019-08-05T19:54:10.000Z;0;null
2019-08-05T19:54:20.000Z;0.6;1506
2019-08-05T19:54:30.000Z;0.6;1790
2019-08-05T19:54:40.000Z;0.5;1787
2019-08-05T19:54:50.000Z;0.6;1882
2019-08-05T19:55:00.000Z;0.5;1807
2019-08-05T19:55:10.000Z;0.6;2294
2019-08-05T19:55:20.000Z;0.7;1892
2019-08-05T19:55:30.000Z;1;2193
2019-08-05T19:55:40.000Z;1;2496
2019-08-05T19:55:50.000Z;1.3;632
2019-08-05T19:56:00.000Z;2.7;2093
2019-08-05T19:56:10.000Z;2.2;1393
2019-08-05T19:56:20.000Z;2.4;573
2019-08-05T19:56:30.000Z;2.5;944
2019-08-05T19:56:40.000Z;2.5;960
2019-08-05T19:56:50.000Z;3.1;821
2019-08-05T19:57:00.000Z;3.2;1428
2019-08-05T19:57:10.000Z;3.1;804
2019-08-05T19:57:20.000Z;3.6;758
2019-08-05T19:57:30.000Z;3;1123
2019-08-05T19:57:40.000Z;3.7;2000
2019-08-05T19:57:50.000Z;3.1;1662
2019-08-05T19:58:00.000Z;3.4;523
2019-08-05T19:58:10.000Z;3.2;594
2019-08-05T19:58:20.000Z;3.3;697
2019-08-05T19:58:30.000Z;3;1426
2019-08-05T19:58:40.000Z;3.3;1305
2019-08-05T19:58:50.000Z;3.6;1285
2019-08-05T19:59:00.000Z;2.8;407
2019-08-05T19:59:10.000Z;3;5
2019-08-05T19:59:20.000Z;2.5;1177
2019-08-05T19:59:30.000Z;2.7;1310
2019-08-05T19:59:40.000Z;2.6;1159
2019-08-05T19:59:50.000Z;2.5;1791
2019-08-05T20:00:00.000Z;1.5;1686
2019-08-05T20:00:10.000Z;1.3;547
2019-08-05T20:00:20.000Z;1.4;1310
2019-08-05T20:00:30.000Z;0.7;1390
2019-08-05T20:00:40.000Z;0.7;1003
2019-08-05T20:00:50.000Z;0.7;1887
2019-08-05T20:01:00.000Z;0.7;null
2019-08-05T20:01:10.000Z;0.7;null
2019-08-05T20:01:20.000Z;0.2;1805
2019-08-05T20:01:30.000Z;0.5;1484
2019-08-05T20:01:40.000Z;0.6;9
2019-08-05T20:01:50.000Z;0.6;1316
2019-08-05T20:02:00.000Z;1.1;2299
2019-08-05T20:02:10.000Z;1.1;1987
2019-08-05T20:02:20.000Z;1.3;406
2019-08-05T20:02:30.000Z;2.4;512
2019-08-05T20:02:40.000Z;2.4;622
