sep=;
Time;cpu/usage_rate.sum;cpu/request.sum;performance.gold.users
2019-08-05T09:46:20.000Z;null;null;0
2019-08-05T09:46:30.000Z;null;null;0
2019-08-05T09:46:40.000Z;null;250;0
2019-08-05T09:46:50.000Z;null;null;0
2019-08-05T09:47:00.000Z;null;null;0
2019-08-05T09:47:10.000Z;null;null;0
2019-08-05T09:47:20.000Z;null;null;0
2019-08-05T09:47:30.000Z;null;null;0
2019-08-05T09:47:40.000Z;null;null;0
2019-08-05T09:47:50.000Z;null;null;0
2019-08-05T09:48:00.000Z;null;null;0
2019-08-05T09:48:10.000Z;null;null;0
2019-08-05T09:48:20.000Z;null;null;0
2019-08-05T09:48:30.000Z;null;null;0
2019-08-05T09:48:40.000Z;null;null;0
2019-08-05T09:48:50.000Z;null;null;0
2019-08-05T09:49:00.000Z;null;null;0
2019-08-05T09:49:10.000Z;216;250;0
2019-08-05T09:49:20.000Z;null;null;0
2019-08-05T09:49:30.000Z;null;null;0
2019-08-05T09:49:40.000Z;null;null;0
2019-08-05T09:49:50.000Z;null;null;0
2019-08-05T09:50:00.000Z;null;null;0
2019-08-05T09:50:10.000Z;null;null;1
2019-08-05T09:50:20.000Z;null;null;1
2019-08-05T09:50:30.000Z;null;null;1
2019-08-05T09:50:40.000Z;null;null;1
2019-08-05T09:50:50.000Z;null;null;1
2019-08-05T09:51:00.000Z;null;null;1
2019-08-05T09:51:10.000Z;null;null;1
2019-08-05T09:51:20.000Z;null;null;1
2019-08-05T09:51:30.000Z;null;null;1
2019-08-05T09:51:40.000Z;80;250;1
2019-08-05T09:51:50.000Z;null;null;2
2019-08-05T09:52:00.000Z;null;null;2
2019-08-05T09:52:10.000Z;null;null;2
2019-08-05T09:52:20.000Z;null;null;2
2019-08-05T09:52:30.000Z;null;null;2
2019-08-05T09:52:40.000Z;null;null;2
2019-08-05T09:52:50.000Z;null;null;2
2019-08-05T09:53:00.000Z;null;null;2
2019-08-05T09:53:10.000Z;null;null;2
2019-08-05T09:53:20.000Z;null;null;2
2019-08-05T09:53:30.000Z;null;null;3
2019-08-05T09:53:40.000Z;null;null;3
2019-08-05T09:53:50.000Z;null;null;3
2019-08-05T09:54:00.000Z;null;null;3
2019-08-05T09:54:10.000Z;null;null;3
2019-08-05T09:54:20.000Z;null;null;3
2019-08-05T09:54:30.000Z;null;null;3
