sep=;
Time;performance.gold.rps;performance.gold.latency
2019-08-05T09:46:20.000Z;null;null
2019-08-05T09:46:30.000Z;null;15
2019-08-05T09:46:40.000Z;null;2092
2019-08-05T09:46:50.000Z;null;1879
2019-08-05T09:47:00.000Z;null;1718
2019-08-05T09:47:10.000Z;null;1810
2019-08-05T09:47:20.000Z;null;10
2019-08-05T09:47:30.000Z;null;null
2019-08-05T09:47:40.000Z;null;null
2019-08-05T09:47:50.000Z;null;null
2019-08-05T09:48:00.000Z;null;null
2019-08-05T09:48:10.000Z;null;null
2019-08-05T09:48:20.000Z;null;null
2019-08-05T09:48:30.000Z;null;null
2019-08-05T09:48:40.000Z;null;null
2019-08-05T09:48:50.000Z;null;null
2019-08-05T09:49:00.000Z;null;null
2019-08-05T09:49:10.000Z;null;null
2019-08-05T09:49:20.000Z;null;null
2019-08-05T09:49:30.000Z;null;null
2019-08-05T09:49:40.000Z;null;null
2019-08-05T09:49:50.000Z;null;null
2019-08-05T09:50:00.000Z;null;null
2019-08-05T09:50:10.000Z;0;12
2019-08-05T09:50:20.000Z;0.16666666666666666;1783
2019-08-05T09:50:30.000Z;0.6;1496
2019-08-05T09:50:40.000Z;0.6;1777
2019-08-05T09:50:50.000Z;0.5;2012
2019-08-05T09:51:00.000Z;0.5;1899
2019-08-05T09:51:10.000Z;0.6;1906
2019-08-05T09:51:20.000Z;0.6;1819
2019-08-05T09:51:30.000Z;0.5;1887
2019-08-05T09:51:40.000Z;0.6;1986
2019-08-05T09:51:50.000Z;0.5;1992
2019-08-05T09:52:00.000Z;0.9;1903
2019-08-05T09:52:10.000Z;0.8;2207
2019-08-05T09:52:20.000Z;1;1889
2019-08-05T09:52:30.000Z;1;2299
2019-08-05T09:52:40.000Z;0.9;1807
2019-08-05T09:52:50.000Z;1.1;2084
2019-08-05T09:53:00.000Z;1.2;1908
2019-08-05T09:53:10.000Z;1.2;1889
2019-08-05T09:53:20.000Z;1;1890
2019-08-05T09:53:30.000Z;1.3;2008
2019-08-05T09:53:40.000Z;2.4;466
2019-08-05T09:53:50.000Z;2.2;806
2019-08-05T09:54:00.000Z;2.3;716
2019-08-05T09:54:10.000Z;1.4;511
2019-08-05T09:54:20.000Z;1.5;493
2019-08-05T09:54:30.000Z;1.8;1380
2019-08-05T09:54:40.000Z;2.6;1403
2019-08-05T09:54:50.000Z;2.6;1131
2019-08-05T09:55:00.000Z;2.6;1135
2019-08-05T09:55:10.000Z;2.7;1808
2019-08-05T09:55:20.000Z;2.6;1602
2019-08-05T09:55:30.000Z;2.6;1601
2019-08-05T09:55:40.000Z;2.6;1666
2019-08-05T09:55:50.000Z;2.5;1601
2019-08-05T09:56:00.000Z;2.7;1176
2019-08-05T09:56:10.000Z;2.5;1235
2019-08-05T09:56:20.000Z;2.7;1270
2019-08-05T09:56:30.000Z;2.7;1457
2019-08-05T09:56:40.000Z;2.5;1594
2019-08-05T09:56:50.000Z;2.7;940
2019-08-05T09:57:00.000Z;3.2;562
2019-08-05T09:57:10.000Z;2.9;1210
2019-08-05T09:57:20.000Z;3.6;1284
2019-08-05T09:57:30.000Z;3.2;2784
2019-08-05T09:57:40.000Z;3.3;1647
2019-08-05T09:57:50.000Z;3.2;1097
2019-08-05T09:58:00.000Z;3.8;902
2019-08-05T09:58:10.000Z;3.3;1546
2019-08-05T09:58:20.000Z;3.3;2818
2019-08-05T09:58:30.000Z;2.9;1739
2019-08-05T09:58:40.000Z;3.6;894
2019-08-05T09:58:50.000Z;2.7;1232
2019-08-05T09:59:00.000Z;3.7;2292
2019-08-05T09:59:10.000Z;4;1009
2019-08-05T09:59:20.000Z;2.8;1684
2019-08-05T09:59:30.000Z;3.6;1630
2019-08-05T09:59:40.000Z;3.8;1300
2019-08-05T09:59:50.000Z;3.4;1150
2019-08-05T10:00:00.000Z;3.5;1231
2019-08-05T10:00:10.000Z;3.7;2710
2019-08-05T10:00:20.000Z;4.2;1500
2019-08-05T10:00:30.000Z;4.2;1186
2019-08-05T10:00:40.000Z;4;2114
2019-08-05T10:00:50.000Z;4.2;490
2019-08-05T10:01:00.000Z;3.6;2719
2019-08-05T10:01:10.000Z;4.3;1230
2019-08-05T10:01:20.000Z;4.1;1691
2019-08-05T10:01:30.000Z;4.2;486
2019-08-05T10:01:40.000Z;3.6;2389
2019-08-05T10:01:50.000Z;4.6;964
2019-08-05T10:02:00.000Z;6.1;893
2019-08-05T10:02:10.000Z;5.2;1235
2019-08-05T10:02:20.000Z;4.3;777
2019-08-05T10:02:30.000Z;4.1;608
2019-08-05T10:02:40.000Z;4.4;1508
2019-08-05T10:02:50.000Z;4.8;1390
2019-08-05T10:03:00.000Z;5.4;1335
2019-08-05T10:03:10.000Z;5.4;2015
2019-08-05T10:03:20.000Z;5.8;1602
2019-08-05T10:03:30.000Z;5.3;1330
2019-08-05T10:03:40.000Z;5.5;1520
2019-08-05T10:03:50.000Z;4.4;1412
2019-08-05T10:04:00.000Z;5.7;1200
2019-08-05T10:04:10.000Z;4.8;1513
2019-08-05T10:04:20.000Z;6;1497
2019-08-05T10:04:30.000Z;5.5;1703
2019-08-05T10:04:40.000Z;5.2;1607
2019-08-05T10:04:50.000Z;5.7;1592
2019-08-05T10:05:00.000Z;5.5;1522
2019-08-05T10:05:10.000Z;5.3;1769
