sep=;
Time;cpu/usage_rate.sum;cpu/request.sum;performance.gold.users
2019-08-05T18:00:50.000Z;9;null;0
2019-08-05T18:01:00.000Z;10;null;0
2019-08-05T18:01:10.000Z;217;null;0
2019-08-05T18:01:20.000Z;489;null;0
2019-08-05T18:01:30.000Z;734;null;0
2019-08-05T18:01:40.000Z;749;null;0
2019-08-05T18:01:50.000Z;747;null;0
2019-08-05T18:02:00.000Z;765;null;0
2019-08-05T18:02:10.000Z;751;null;0
2019-08-05T18:02:20.000Z;726;null;0
2019-08-05T18:02:30.000Z;642;null;4
2019-08-05T18:02:40.000Z;197;null;4
2019-08-05T18:02:50.000Z;10;null;4
2019-08-05T18:03:00.000Z;9;null;4
2019-08-05T18:03:10.000Z;10;null;4
2019-08-05T18:03:20.000Z;10;null;4
2019-08-05T18:03:30.000Z;9;null;4
2019-08-05T18:03:40.000Z;9;null;4
2019-08-05T18:03:50.000Z;10;null;4
2019-08-05T18:04:00.000Z;680;null;4
2019-08-05T18:04:10.000Z;379;null;4
2019-08-05T18:04:20.000Z;496;null;4
2019-08-05T18:04:30.000Z;734;null;4
2019-08-05T18:04:40.000Z;773;null;4
2019-08-05T18:04:50.000Z;732;null;4
2019-08-05T18:05:00.000Z;740;null;0
2019-08-05T18:05:10.000Z;743;null;0
2019-08-05T18:05:20.000Z;764;null;0
2019-08-05T18:05:30.000Z;203;null;0
2019-08-05T18:05:40.000Z;9;null;0
2019-08-05T18:05:50.000Z;10;1;0
2019-08-05T18:06:00.000Z;10;null;0
2019-08-05T18:06:10.000Z;9;null;0
2019-08-05T18:06:20.000Z;9;null;0
2019-08-05T18:06:30.000Z;10;null;0
2019-08-05T18:06:40.000Z;10;null;0
2019-08-05T18:06:50.000Z;658;null;0
2019-08-05T18:07:00.000Z;246;null;0
2019-08-05T18:07:10.000Z;602;null;0
2019-08-05T18:07:20.000Z;778;null;0
2019-08-05T18:07:30.000Z;739;null;4
2019-08-05T18:07:40.000Z;748;null;4
2019-08-05T18:07:50.000Z;765;null;4
2019-08-05T18:08:00.000Z;760;null;4
2019-08-05T18:08:10.000Z;570;null;4
