sep=;
Time;performance.gold.rps;performance.gold.latency
2019-08-05T18:00:50.000Z;0;0
2019-08-05T18:01:00.000Z;0;0
2019-08-05T18:01:10.000Z;0;0
2019-08-05T18:01:20.000Z;0;0
2019-08-05T18:01:30.000Z;0;0
2019-08-05T18:01:40.000Z;0;0
2019-08-05T18:01:50.000Z;0;0
2019-08-05T18:02:00.000Z;0;0
2019-08-05T18:02:10.000Z;0;0
2019-08-05T18:02:20.000Z;0;0
2019-08-05T18:02:30.000Z;0;12
2019-08-05T18:02:40.000Z;0;null
2019-08-05T18:02:50.000Z;0;null
2019-08-05T18:03:00.000Z;0;684
2019-08-05T18:03:10.000Z;2.1;1279
2019-08-05T18:03:20.000Z;2.8;1240
2019-08-05T18:03:30.000Z;2.8;2281
2019-08-05T18:03:40.000Z;2.7;1559
2019-08-05T18:03:50.000Z;2.5;1201
2019-08-05T18:04:00.000Z;2.8;1250
2019-08-05T18:04:10.000Z;2.6;1495
2019-08-05T18:04:20.000Z;2.7;1483
2019-08-05T18:04:30.000Z;2.6;1630
2019-08-05T18:04:40.000Z;2.5;1471
2019-08-05T18:04:50.000Z;2.7;1381
2019-08-05T18:05:00.000Z;0;0
2019-08-05T18:05:10.000Z;0;0
2019-08-05T18:05:20.000Z;0;0
2019-08-05T18:05:30.000Z;0;0
2019-08-05T18:05:40.000Z;0;0
2019-08-05T18:05:50.000Z;0;0
2019-08-05T18:06:00.000Z;0;0
2019-08-05T18:06:10.000Z;0;0
2019-08-05T18:06:20.000Z;0;0
2019-08-05T18:06:30.000Z;0;0
2019-08-05T18:06:40.000Z;0;0
2019-08-05T18:06:50.000Z;0;0
2019-08-05T18:07:00.000Z;0;0
2019-08-05T18:07:10.000Z;0;0
2019-08-05T18:07:20.000Z;0;0
2019-08-05T18:07:30.000Z;0;11
2019-08-05T18:07:40.000Z;0.9;1474
2019-08-05T18:07:50.000Z;1.9;610
2019-08-05T18:08:00.000Z;1.6;665
2019-08-05T18:08:10.000Z;1.6;null
2019-08-05T18:08:20.000Z;1.3;1065
2019-08-05T18:08:30.000Z;2.6;1877
2019-08-05T18:08:40.000Z;2.7;1561
2019-08-05T18:08:50.000Z;2.6;1581
2019-08-05T18:09:00.000Z;2.6;1467
2019-08-05T18:09:10.000Z;2.6;1441
2019-08-05T18:09:20.000Z;2.7;1009
2019-08-05T18:09:30.000Z;2.8;1584
2019-08-05T18:09:40.000Z;2.7;1525
2019-08-05T18:09:50.000Z;2.5;1637
2019-08-05T18:10:00.000Z;0;0
2019-08-05T18:10:10.000Z;0;0
2019-08-05T18:10:20.000Z;0;0
2019-08-05T18:10:30.000Z;0;0
2019-08-05T18:10:40.000Z;0;0
2019-08-05T18:10:50.000Z;0;0
2019-08-05T18:11:00.000Z;0;0
2019-08-05T18:11:10.000Z;0;0
2019-08-05T18:11:20.000Z;0;0
2019-08-05T18:11:30.000Z;0;0
2019-08-05T18:11:40.000Z;0;0
2019-08-05T18:11:50.000Z;0;0
2019-08-05T18:12:00.000Z;0;0
2019-08-05T18:12:10.000Z;0;0
2019-08-05T18:12:20.000Z;0;0
2019-08-05T18:12:30.000Z;0;0
2019-08-05T18:12:40.000Z;0.8;572
2019-08-05T18:12:50.000Z;1.7;647
2019-08-05T18:13:00.000Z;1.7;null
2019-08-05T18:13:10.000Z;0.2;1073
2019-08-05T18:13:20.000Z;2.6;1131
2019-08-05T18:13:30.000Z;3;1379
2019-08-05T18:13:40.000Z;2.7;1081
2019-08-05T18:13:50.000Z;2.7;1814
2019-08-05T18:14:00.000Z;2.6;1606
2019-08-05T18:14:10.000Z;2.8;1463
2019-08-05T18:14:20.000Z;2.4;1601
2019-08-05T18:14:30.000Z;3;1524
2019-08-05T18:14:40.000Z;2.8;1309
2019-08-05T18:14:50.000Z;2.8;1476
2019-08-05T18:15:00.000Z;0;0
2019-08-05T18:15:10.000Z;0;0
2019-08-05T18:15:20.000Z;0;0
2019-08-05T18:15:30.000Z;0;0
2019-08-05T18:15:40.000Z;0;0
2019-08-05T18:15:50.000Z;0;0
2019-08-05T18:16:00.000Z;0;0
2019-08-05T18:16:10.000Z;0;0
2019-08-05T18:16:20.000Z;0;0
2019-08-05T18:16:30.000Z;0;0
2019-08-05T18:16:40.000Z;0;0
2019-08-05T18:16:50.000Z;0;0
2019-08-05T18:17:00.000Z;0;0
2019-08-05T18:17:10.000Z;0;0
