sep=;
Time;cpu/usage_rate.sum;cpu/request.sum;performance.gold.users
2019-08-05T11:15:20.000Z;null;null;0
2019-08-05T11:15:30.000Z;null;null;0
2019-08-05T11:15:40.000Z;null;null;0
2019-08-05T11:15:50.000Z;null;null;0
2019-08-05T11:16:00.000Z;null;null;0
2019-08-05T11:16:10.000Z;null;null;9
2019-08-05T11:16:20.000Z;null;250;9
2019-08-05T11:16:30.000Z;null;null;9
2019-08-05T11:16:40.000Z;null;null;9
2019-08-05T11:16:50.000Z;null;null;9
2019-08-05T11:17:00.000Z;null;null;9
2019-08-05T11:17:10.000Z;null;null;9
2019-08-05T11:17:20.000Z;null;null;9
2019-08-05T11:17:30.000Z;null;null;9
2019-08-05T11:17:40.000Z;null;null;9
2019-08-05T11:17:50.000Z;null;null;9
2019-08-05T11:18:00.000Z;null;null;9
2019-08-05T11:18:10.000Z;null;null;9
2019-08-05T11:18:20.000Z;null;null;9
2019-08-05T11:18:30.000Z;null;null;9
2019-08-05T11:18:40.000Z;null;null;9
2019-08-05T11:18:50.000Z;null;null;9
2019-08-05T11:19:00.000Z;null;null;9
2019-08-05T11:19:10.000Z;null;null;9
2019-08-05T11:19:20.000Z;null;null;9
2019-08-05T11:19:30.000Z;null;null;9
2019-08-05T11:19:40.000Z;null;null;9
2019-08-05T11:19:50.000Z;null;null;9
2019-08-05T11:20:00.000Z;null;null;9
2019-08-05T11:20:10.000Z;null;null;9
2019-08-05T11:20:20.000Z;null;null;9
2019-08-05T11:20:30.000Z;null;null;9
2019-08-05T11:20:40.000Z;null;null;9
2019-08-05T11:20:50.000Z;null;null;9
2019-08-05T11:21:00.000Z;null;null;9
2019-08-05T11:21:10.000Z;null;null;9
2019-08-05T11:21:20.000Z;null;1500;9
2019-08-05T11:21:30.000Z;null;null;9
2019-08-05T11:21:40.000Z;null;null;9
2019-08-05T11:21:50.000Z;null;null;9
2019-08-05T11:22:00.000Z;null;null;9
2019-08-05T11:22:10.000Z;null;null;9
2019-08-05T11:22:20.000Z;null;null;9
2019-08-05T11:22:30.000Z;null;null;9
2019-08-05T11:22:40.000Z;null;null;9
2019-08-05T11:22:50.000Z;null;null;9
2019-08-05T11:23:00.000Z;null;null;9
2019-08-05T11:23:10.000Z;null;null;9
2019-08-05T11:23:20.000Z;null;null;9
2019-08-05T11:23:30.000Z;null;null;9
2019-08-05T11:23:40.000Z;null;null;9
2019-08-05T11:23:50.000Z;null;null;9
2019-08-05T11:24:00.000Z;null;null;9
2019-08-05T11:24:10.000Z;null;null;9
2019-08-05T11:24:20.000Z;null;null;9
2019-08-05T11:24:30.000Z;null;null;9
2019-08-05T11:24:40.000Z;null;null;9
2019-08-05T11:24:50.000Z;null;null;9
2019-08-05T11:25:00.000Z;null;null;9
2019-08-05T11:25:10.000Z;null;null;9
2019-08-05T11:25:20.000Z;null;null;9
2019-08-05T11:25:30.000Z;null;null;9
2019-08-05T11:25:40.000Z;null;null;9
2019-08-05T11:25:50.000Z;null;null;9
2019-08-05T11:26:00.000Z;null;null;9
2019-08-05T11:16:44.500Z;null;null;undefined
2019-08-05T11:16:45.000Z;1189;2500;undefined
2019-08-05T11:16:45.500Z;null;null;undefined
2019-08-05T11:16:46.000Z;null;null;undefined
2019-08-05T11:16:46.500Z;null;null;undefined
2019-08-05T11:16:47.000Z;null;null;undefined
2019-08-05T11:16:47.500Z;null;null;undefined
2019-08-05T11:16:48.000Z;null;null;undefined
2019-08-05T11:16:48.500Z;null;null;undefined
2019-08-05T11:16:49.000Z;null;null;undefined
2019-08-05T11:16:49.500Z;null;null;undefined
2019-08-05T11:16:50.000Z;null;null;undefined
2019-08-05T11:16:50.500Z;null;null;undefined
2019-08-05T11:16:51.000Z;null;null;undefined
2019-08-05T11:16:51.500Z;null;null;undefined
2019-08-05T11:16:52.000Z;null;null;undefined
2019-08-05T11:16:52.500Z;null;null;undefined
2019-08-05T11:16:53.000Z;null;null;undefined
2019-08-05T11:16:53.500Z;null;null;undefined
2019-08-05T11:16:54.000Z;null;null;undefined
2019-08-05T11:16:54.500Z;null;null;undefined
2019-08-05T11:16:55.000Z;null;null;undefined
2019-08-05T11:16:55.500Z;null;null;undefined
2019-08-05T11:16:56.000Z;null;null;undefined
2019-08-05T11:16:56.500Z;null;null;undefined
2019-08-05T11:16:57.000Z;null;null;undefined
2019-08-05T11:16:57.500Z;null;null;undefined
2019-08-05T11:16:58.000Z;null;null;undefined
2019-08-05T11:16:58.500Z;null;null;undefined
2019-08-05T11:16:59.000Z;null;null;undefined
2019-08-05T11:16:59.500Z;null;null;undefined
2019-08-05T11:17:00.000Z;1808;2250;undefined
2019-08-05T11:17:00.500Z;null;null;undefined
2019-08-05T11:17:01.000Z;null;null;undefined
2019-08-05T11:17:01.500Z;null;null;undefined
2019-08-05T11:17:02.000Z;null;null;undefined
2019-08-05T11:17:02.500Z;null;null;undefined
2019-08-05T11:17:03.000Z;null;null;undefined
2019-08-05T11:17:03.500Z;null;null;undefined
2019-08-05T11:17:04.000Z;null;null;undefined
2019-08-05T11:17:04.500Z;null;null;undefined
2019-08-05T11:17:05.000Z;null;null;undefined
2019-08-05T11:17:05.500Z;null;null;undefined
2019-08-05T11:17:06.000Z;null;null;undefined
2019-08-05T11:17:06.500Z;null;null;undefined
2019-08-05T11:17:07.000Z;null;null;undefined
2019-08-05T11:17:07.500Z;null;null;undefined
2019-08-05T11:17:08.000Z;null;null;undefined
2019-08-05T11:17:08.500Z;null;null;undefined
2019-08-05T11:17:09.000Z;null;null;undefined
2019-08-05T11:17:09.500Z;null;null;undefined
2019-08-05T11:17:10.000Z;null;null;undefined
2019-08-05T11:17:10.500Z;null;null;undefined
2019-08-05T11:17:11.000Z;null;null;undefined
2019-08-05T11:17:11.500Z;null;null;undefined
2019-08-05T11:17:12.000Z;null;null;undefined
2019-08-05T11:17:12.500Z;null;null;undefined
2019-08-05T11:17:13.000Z;null;null;undefined
2019-08-05T11:17:13.500Z;null;null;undefined
2019-08-05T11:17:14.000Z;null;null;undefined
2019-08-05T11:17:14.500Z;null;null;undefined
2019-08-05T11:17:15.000Z;1543;1750;undefined
2019-08-05T11:17:15.500Z;null;null;undefined
2019-08-05T11:17:16.000Z;null;null;undefined
2019-08-05T11:17:16.500Z;null;null;undefined
2019-08-05T11:17:17.000Z;null;null;undefined
2019-08-05T11:17:17.500Z;null;null;undefined
2019-08-05T11:17:18.000Z;null;null;undefined
2019-08-05T11:17:18.500Z;null;null;undefined
2019-08-05T11:17:19.000Z;null;null;undefined
2019-08-05T11:17:19.500Z;null;null;undefined
2019-08-05T11:17:20.000Z;null;null;undefined
2019-08-05T11:17:20.500Z;null;null;undefined
2019-08-05T11:17:21.000Z;null;null;undefined
2019-08-05T11:17:21.500Z;null;null;undefined
2019-08-05T11:17:22.000Z;null;null;undefined
2019-08-05T11:17:22.500Z;null;null;undefined
2019-08-05T11:17:23.000Z;null;null;undefined
2019-08-05T11:17:23.500Z;null;null;undefined
2019-08-05T11:17:24.000Z;null;null;undefined
2019-08-05T11:17:24.500Z;null;null;undefined
2019-08-05T11:17:25.000Z;null;null;undefined
2019-08-05T11:17:25.500Z;null;null;undefined
2019-08-05T11:17:26.000Z;null;null;undefined
2019-08-05T11:17:26.500Z;null;null;undefined
2019-08-05T11:17:27.000Z;null;null;undefined
2019-08-05T11:17:27.500Z;null;null;undefined
2019-08-05T11:17:28.000Z;null;null;undefined
2019-08-05T11:17:28.500Z;null;null;undefined
2019-08-05T11:17:29.000Z;null;null;undefined
2019-08-05T11:17:29.500Z;null;null;undefined
2019-08-05T11:17:30.000Z;1369;1750;undefined
2019-08-05T11:17:30.500Z;null;null;undefined
2019-08-05T11:17:31.000Z;null;null;undefined
2019-08-05T11:17:31.500Z;null;null;undefined
