sep=;
Time;performance.gold.rps;performance.gold.latency
2019-08-05T11:15:20.000Z;0;null
2019-08-05T11:15:30.000Z;0;null
2019-08-05T11:15:40.000Z;0;null
2019-08-05T11:15:50.000Z;0;null
2019-08-05T11:16:00.000Z;0;null
2019-08-05T11:16:10.000Z;0;6
2019-08-05T11:16:20.000Z;1.1111111111111112;1783
2019-08-05T11:16:30.000Z;3.7;2008
2019-08-05T11:16:40.000Z;4.9;1533
2019-08-05T11:16:50.000Z;5.1;675
2019-08-05T11:17:00.000Z;5.8;642
2019-08-05T11:17:10.000Z;4.4;451
2019-08-05T11:17:20.000Z;4.3;1383
2019-08-05T11:17:30.000Z;4.9;1452
2019-08-05T11:17:40.000Z;5.8;1992
2019-08-05T11:17:50.000Z;5.2;531
2019-08-05T11:18:00.000Z;5.5;644
2019-08-05T11:18:10.000Z;5.1;1135
2019-08-05T11:18:20.000Z;3.9;1025
2019-08-05T11:18:30.000Z;5.2;936
2019-08-05T11:18:40.000Z;5;1508
2019-08-05T11:18:50.000Z;5.6;1404
2019-08-05T11:19:00.000Z;5.6;1236
2019-08-05T11:19:10.000Z;5.5;1641
2019-08-05T11:19:20.000Z;5.5;1196
2019-08-05T11:19:30.000Z;5.1;1452
2019-08-05T11:19:40.000Z;5.6;1353
2019-08-05T11:19:50.000Z;5.4;1250
2019-08-05T11:20:00.000Z;5.6;1600
2019-08-05T11:20:10.000Z;5.4;1489
2019-08-05T11:20:20.000Z;5.6;1748
2019-08-05T11:20:30.000Z;5.6;1743
2019-08-05T11:20:40.000Z;5.4;1269
2019-08-05T11:20:50.000Z;5.5;1563
2019-08-05T11:21:00.000Z;5.7;1278
2019-08-05T11:21:10.000Z;5.6;1560
2019-08-05T11:21:20.000Z;5.9;1581
2019-08-05T11:21:30.000Z;5.5;1632
2019-08-05T11:21:40.000Z;5.7;1746
2019-08-05T11:21:50.000Z;5.6;1339
2019-08-05T11:22:00.000Z;5.7;1613
2019-08-05T11:22:10.000Z;5.6;1417
2019-08-05T11:22:20.000Z;5.2;1689
2019-08-05T11:22:30.000Z;5.4;1472
2019-08-05T11:22:40.000Z;5.3;1646
2019-08-05T11:22:50.000Z;5.5;1293
2019-08-05T11:23:00.000Z;5.5;1626
2019-08-05T11:23:10.000Z;5.3;1271
2019-08-05T11:23:20.000Z;5.6;1835
2019-08-05T11:23:30.000Z;5.4;1897
2019-08-05T11:23:40.000Z;5.6;1597
2019-08-05T11:23:50.000Z;5.5;1795
2019-08-05T11:24:00.000Z;5.5;1682
2019-08-05T11:24:10.000Z;5.5;1672
2019-08-05T11:24:20.000Z;5.3;1380
2019-08-05T11:24:30.000Z;5.7;2208
2019-08-05T11:24:40.000Z;5.5;1673
2019-08-05T11:24:50.000Z;5.4;1509
2019-08-05T11:25:00.000Z;5.4;1581
2019-08-05T11:25:10.000Z;5;1380
2019-08-05T11:25:20.000Z;5.5;1488
2019-08-05T11:25:30.000Z;5.6;1420
2019-08-05T11:25:40.000Z;5.5;1699
2019-08-05T11:25:50.000Z;5.4;1447
2019-08-05T11:26:00.000Z;5.5;1335
