sep=;
Time;performance.gold.rps;performance.gold.latency
2019-08-05T21:33:30.000Z;null;null
2019-08-05T21:33:40.000Z;null;null
2019-08-05T21:33:50.000Z;null;null
2019-08-05T21:34:00.000Z;null;null
2019-08-05T21:34:10.000Z;null;null
2019-08-05T21:34:20.000Z;null;null
2019-08-05T21:34:30.000Z;0;0
2019-08-05T21:34:40.000Z;0;0
2019-08-05T21:34:50.000Z;0;8414
2019-08-05T21:35:00.000Z;0.125;1693
2019-08-05T21:35:10.000Z;0.125;null
2019-08-05T21:35:20.000Z;0.125;null
2019-08-05T21:35:30.000Z;0.3;1795
2019-08-05T21:35:40.000Z;0.6;1706
2019-08-05T21:35:50.000Z;0.6;1692
2019-08-05T21:36:00.000Z;0.5;1781
2019-08-05T21:36:10.000Z;0.7;1619
2019-08-05T21:36:20.000Z;0.6;1691
2019-08-05T21:36:30.000Z;0.7;2196
2019-08-05T21:36:40.000Z;1;1803
2019-08-05T21:36:50.000Z;1.2;1204
2019-08-05T21:37:00.000Z;1.2;1793
2019-08-05T21:37:10.000Z;1.2;1615
2019-08-05T21:37:20.000Z;1.2;1683
2019-08-05T21:37:30.000Z;1.1;2200
2019-08-05T21:37:40.000Z;1.1;1310
2019-08-05T21:37:50.000Z;1.1;2488
2019-08-05T21:38:00.000Z;1.1;2226
2019-08-05T21:38:10.000Z;1.4;2094
2019-08-05T21:38:20.000Z;1.8;1806
2019-08-05T21:38:30.000Z;1.7;1591
2019-08-05T21:38:40.000Z;1.7;1800
2019-08-05T21:38:50.000Z;1.6;2392
2019-08-05T21:39:00.000Z;1.3;1679
2019-08-05T21:39:10.000Z;1.6;2205
2019-08-05T21:39:20.000Z;1.4;1512
2019-08-05T21:39:30.000Z;1.4;2005
2019-08-05T21:39:40.000Z;1.7;1306
2019-08-05T21:39:50.000Z;1.7;1903
2019-08-05T21:40:00.000Z;2;1206
2019-08-05T21:40:10.000Z;1.9;2081
2019-08-05T21:40:20.000Z;2;2417
2019-08-05T21:40:30.000Z;1.9;2012
2019-08-05T21:40:40.000Z;2;1794
2019-08-05T21:40:50.000Z;2.1;1193
2019-08-05T21:41:00.000Z;1.8;1398
2019-08-05T21:41:10.000Z;2;1109
2019-08-05T21:41:20.000Z;2.4;1780
2019-08-05T21:41:30.000Z;2.4;1895
2019-08-05T21:41:40.000Z;2.7;2408
2019-08-05T21:41:50.000Z;2.3;2019
2019-08-05T21:42:00.000Z;2.6;2024
2019-08-05T21:42:10.000Z;2.5;1502
2019-08-05T21:42:20.000Z;2.5;1222
2019-08-05T21:42:30.000Z;2.8;1295
2019-08-05T21:42:40.000Z;2.5;1898
2019-08-05T21:42:50.000Z;2.4;1210
2019-08-05T21:43:00.000Z;2.6;2900
2019-08-05T21:43:10.000Z;3;1696
2019-08-05T21:43:20.000Z;3.1;2004
2019-08-05T21:43:30.000Z;3;1525
2019-08-05T21:43:40.000Z;3.2;2113
2019-08-05T21:43:50.000Z;3;1895
2019-08-05T21:44:00.000Z;2.8;2209
2019-08-05T21:44:10.000Z;3.4;2290
2019-08-05T21:44:20.000Z;2.9;1667
2019-08-05T21:44:30.000Z;3;1405
2019-08-05T21:44:40.000Z;3.4;1674
2019-08-05T21:44:50.000Z;3.3;1729
2019-08-05T21:45:00.000Z;3.7;1886
2019-08-05T21:45:10.000Z;3.5;2297
2019-08-05T21:45:20.000Z;4;1572
2019-08-05T21:45:30.000Z;3.4;2593
2019-08-05T21:45:40.000Z;3.7;1796
2019-08-05T21:45:50.000Z;3.9;886
2019-08-05T21:46:00.000Z;3.8;2480
2019-08-05T21:46:10.000Z;3.6;1650
2019-08-05T21:46:20.000Z;4.1;1635
2019-08-05T21:46:30.000Z;3.7;1818
2019-08-05T21:46:40.000Z;4.3;993
2019-08-05T21:46:50.000Z;4.2;1404
2019-08-05T21:47:00.000Z;4.2;2206
2019-08-05T21:47:10.000Z;4;1887
2019-08-05T21:47:20.000Z;4.2;1642
2019-08-05T21:47:30.000Z;4.2;2079
2019-08-05T21:47:40.000Z;4.4;1087
2019-08-05T21:47:50.000Z;4.5;2242
2019-08-05T21:48:00.000Z;4.2;1939
2019-08-05T21:48:10.000Z;4.4;2363
2019-08-05T21:48:20.000Z;4.6;1494
2019-08-05T21:48:30.000Z;4.8;993
2019-08-05T21:48:40.000Z;4.8;895
2019-08-05T21:48:50.000Z;4.8;2516
2019-08-05T21:49:00.000Z;4.9;2376
2019-08-05T21:49:10.000Z;4.5;1825
2019-08-05T21:49:20.000Z;5.2;1437
2019-08-05T21:49:30.000Z;5.1;1239
2019-08-05T21:49:40.000Z;5;1134
2019-08-05T21:49:50.000Z;5.1;1914
2019-08-05T21:50:00.000Z;6;1242
2019-08-05T21:50:10.000Z;5.6;2173
2019-08-05T21:50:20.000Z;5.6;1350
2019-08-05T21:50:30.000Z;4.7;2362
2019-08-05T21:50:40.000Z;5.2;1888
2019-08-05T21:50:50.000Z;5.1;1139
2019-08-05T21:51:00.000Z;5.6;1563
2019-08-05T21:51:10.000Z;5.5;2144
2019-08-05T21:51:20.000Z;5.6;1864
2019-08-05T21:51:30.000Z;6.3;1038
2019-08-05T21:51:40.000Z;6;1288
2019-08-05T21:51:50.000Z;5.9;2145
