sep=;
Time;cpu/usage_rate.sum;cpu/request.sum;performance.gold.users
2019-08-05T20:50:30.000Z;9;null;0
2019-08-05T20:50:40.000Z;9;null;0
2019-08-05T20:50:50.000Z;138;null;0
2019-08-05T20:51:00.000Z;381;null;0
2019-08-05T20:51:10.000Z;673;null;0
2019-08-05T20:51:20.000Z;686;null;0
2019-08-05T20:51:30.000Z;660;null;0
2019-08-05T20:51:40.000Z;677;null;4
2019-08-05T20:51:50.000Z;894;null;4
2019-08-05T20:52:00.000Z;843;null;4
2019-08-05T20:52:10.000Z;903;null;4
2019-08-05T20:52:20.000Z;731;null;4
2019-08-05T20:52:30.000Z;240;null;4
2019-08-05T20:52:40.000Z;9;null;4
2019-08-05T20:52:50.000Z;10;1;4
2019-08-05T20:53:00.000Z;9;null;4
2019-08-05T20:53:10.000Z;10;null;4
2019-08-05T20:53:20.000Z;9;null;4
2019-08-05T20:53:30.000Z;9;null;4
2019-08-05T20:53:40.000Z;9;null;4
2019-08-05T20:53:50.000Z;11;null;4
2019-08-05T20:54:00.000Z;9;null;4
2019-08-05T20:54:10.000Z;459;null;0
2019-08-05T20:54:20.000Z;533;null;0
2019-08-05T20:54:30.000Z;568;null;0
2019-08-05T20:54:40.000Z;750;null;0
2019-08-05T20:54:50.000Z;429;null;0
2019-08-05T20:55:00.000Z;616;null;0
2019-08-05T20:55:10.000Z;704;null;0
2019-08-05T20:55:20.000Z;892;null;0
2019-08-05T20:55:30.000Z;897;null;0
2019-08-05T20:55:40.000Z;820;null;0
2019-08-05T20:55:50.000Z;247;null;0
2019-08-05T20:56:00.000Z;9;null;0
2019-08-05T20:56:10.000Z;9;null;0
2019-08-05T20:56:20.000Z;10;null;0
2019-08-05T20:56:30.000Z;9;null;0
2019-08-05T20:56:40.000Z;9;null;4
2019-08-05T20:56:50.000Z;9;null;4
2019-08-05T20:57:00.000Z;10;null;4
2019-08-05T20:57:10.000Z;10;null;4
2019-08-05T20:57:20.000Z;480;null;4
2019-08-05T20:57:30.000Z;828;null;4
2019-08-05T20:57:40.000Z;467;null;4
2019-08-05T20:57:50.000Z;521;1001;4
2019-08-05T20:58:00.000Z;879;null;4
2019-08-05T20:58:10.000Z;930;null;4
2019-08-05T20:58:20.000Z;901;null;4
2019-08-05T20:58:30.000Z;919;null;4
2019-08-05T20:58:40.000Z;643;null;4
2019-08-05T20:58:50.000Z;699;null;4
2019-08-05T20:59:00.000Z;280;null;4
2019-08-05T20:59:10.000Z;9;null;0
2019-08-05T20:59:20.000Z;undefined;null;0
2019-08-05T20:59:30.000Z;undefined;null;0
2019-08-05T20:59:40.000Z;undefined;null;0
2019-08-05T20:59:50.000Z;undefined;null;0
2019-08-05T21:00:00.000Z;undefined;null;0
2019-08-05T21:00:10.000Z;undefined;null;0
2019-08-05T21:00:20.000Z;undefined;null;0
2019-08-05T21:00:30.000Z;undefined;null;0
2019-08-05T21:00:40.000Z;undefined;null;0
2019-08-05T21:00:50.000Z;undefined;null;0
2019-08-05T21:01:00.000Z;undefined;null;0
