sep=;
Time;performance.gold.rps;performance.gold.latency
2019-08-05T20:50:30.000Z;0;0
2019-08-05T20:50:40.000Z;0;0
2019-08-05T20:50:50.000Z;0;0
2019-08-05T20:51:00.000Z;0;0
2019-08-05T20:51:10.000Z;0;0
2019-08-05T20:51:20.000Z;0;0
2019-08-05T20:51:30.000Z;0;0
2019-08-05T20:51:40.000Z;0;7
2019-08-05T20:51:50.000Z;0.2;1120
2019-08-05T20:52:00.000Z;0.2;null
2019-08-05T20:52:10.000Z;0.6;2008
2019-08-05T20:52:20.000Z;1.7;1578
2019-08-05T20:52:30.000Z;1.7;1986
2019-08-05T20:52:40.000Z;2;1496
2019-08-05T20:52:50.000Z;2.3;1690
2019-08-05T20:53:00.000Z;1.7;2011
2019-08-05T20:53:10.000Z;2.2;1715
2019-08-05T20:53:20.000Z;1.7;1489
2019-08-05T20:53:30.000Z;1.9;2575
2019-08-05T20:53:40.000Z;2;2206
2019-08-05T20:53:50.000Z;1.8;1809
2019-08-05T20:54:00.000Z;1.9;1694
2019-08-05T20:54:10.000Z;0;0
2019-08-05T20:54:20.000Z;0;0
2019-08-05T20:54:30.000Z;0;0
2019-08-05T20:54:40.000Z;0;0
2019-08-05T20:54:50.000Z;0;0
2019-08-05T20:55:00.000Z;0;0
2019-08-05T20:55:10.000Z;0;0
2019-08-05T20:55:20.000Z;0;0
2019-08-05T20:55:30.000Z;0;0
2019-08-05T20:55:40.000Z;0;0
2019-08-05T20:55:50.000Z;0;0
2019-08-05T20:56:00.000Z;0;0
2019-08-05T20:56:10.000Z;0;0
2019-08-05T20:56:20.000Z;0;0
2019-08-05T20:56:30.000Z;0;0
2019-08-05T20:56:40.000Z;0;8
2019-08-05T20:56:50.000Z;0.6;2095
2019-08-05T20:57:00.000Z;1.5;1522
2019-08-05T20:57:10.000Z;1.2;1302
2019-08-05T20:57:20.000Z;0.7;901
2019-08-05T20:57:30.000Z;1.2;1315
2019-08-05T20:57:40.000Z;1.8;1311
2019-08-05T20:57:50.000Z;2;2607
2019-08-05T20:58:00.000Z;2.1;1616
2019-08-05T20:58:10.000Z;2;1398
2019-08-05T20:58:20.000Z;2.2;2713
2019-08-05T20:58:30.000Z;1.7;2288
2019-08-05T20:58:40.000Z;1.9;1780
2019-08-05T20:58:50.000Z;2.3;1313
2019-08-05T20:59:00.000Z;2.1;1514
2019-08-05T20:59:10.000Z;0;0
2019-08-05T20:59:20.000Z;0;0
2019-08-05T20:59:30.000Z;0;0
2019-08-05T20:59:40.000Z;0;0
2019-08-05T20:59:50.000Z;0;0
2019-08-05T21:00:00.000Z;0;0
2019-08-05T21:00:10.000Z;0;0
2019-08-05T21:00:20.000Z;0;0
2019-08-05T21:00:30.000Z;0;0
2019-08-05T21:00:40.000Z;0;0
2019-08-05T21:00:50.000Z;0;0
2019-08-05T21:01:00.000Z;0;0
2019-08-05T21:01:10.000Z;0;0
2019-08-05T21:01:20.000Z;0;0
2019-08-05T21:01:30.000Z;0;0
2019-08-05T21:01:40.000Z;0;0
2019-08-05T21:01:50.000Z;0.6;1380
2019-08-05T21:02:00.000Z;2.3;2083
2019-08-05T21:02:10.000Z;1.6;1306
2019-08-05T21:02:20.000Z;0.7;2196
2019-08-05T21:02:30.000Z;0.7;1993
2019-08-05T21:02:40.000Z;1.4;1485
2019-08-05T21:02:50.000Z;1.9;1997
2019-08-05T21:03:00.000Z;2.1;2508
2019-08-05T21:03:10.000Z;2.1;1582
2019-08-05T21:03:20.000Z;1.9;1704
2019-08-05T21:03:30.000Z;2.2;1690
2019-08-05T21:03:40.000Z;2.2;3404
2019-08-05T21:03:50.000Z;2;2007
2019-08-05T21:04:00.000Z;1.8;2307
2019-08-05T21:04:10.000Z;0;0
2019-08-05T21:04:20.000Z;0;0
2019-08-05T21:04:30.000Z;0;0
2019-08-05T21:04:40.000Z;0;0
2019-08-05T21:04:50.000Z;0;0
2019-08-05T21:05:00.000Z;0;0
2019-08-05T21:05:10.000Z;0;0
2019-08-05T21:05:20.000Z;0;0
2019-08-05T21:05:30.000Z;0;0
2019-08-05T21:05:40.000Z;0;0
2019-08-05T21:05:50.000Z;0;0
