sep=;
Time;cpu/usage_rate.sum;cpu/request.sum;performance.gold.users
2019-08-05T21:59:50.000Z;9;null;null
2019-08-05T22:00:00.000Z;10;null;null
2019-08-05T22:00:10.000Z;83;null;null
2019-08-05T22:00:20.000Z;178;null;null
2019-08-05T22:00:30.000Z;251;null;null
2019-08-05T22:00:40.000Z;255;null;null
2019-08-05T22:00:50.000Z;240;null;0
2019-08-05T22:01:00.000Z;473;null;0
2019-08-05T22:01:10.000Z;262;null;1
2019-08-05T22:01:20.000Z;444;null;1
2019-08-05T22:01:30.000Z;680;null;1
2019-08-05T22:01:40.000Z;661;null;1
2019-08-05T22:01:50.000Z;851;null;1
2019-08-05T22:02:00.000Z;1073;1;1
2019-08-05T22:02:10.000Z;672;null;1
2019-08-05T22:02:20.000Z;1151;null;1
2019-08-05T22:02:30.000Z;897;null;1
2019-08-05T22:02:40.000Z;1080;null;2
2019-08-05T22:02:50.000Z;1080;null;2
2019-08-05T22:03:00.000Z;1141;null;2
2019-08-05T22:03:10.000Z;871;null;3
2019-08-05T22:03:20.000Z;1033;null;3
2019-08-05T22:03:30.000Z;805;null;3
2019-08-05T22:03:40.000Z;788;null;4
2019-08-05T22:03:50.000Z;605;null;4
2019-08-05T22:04:00.000Z;266;null;4
2019-08-05T22:04:10.000Z;259;null;5
2019-08-05T22:04:20.000Z;326;null;5
2019-08-05T22:04:30.000Z;153;251;5
2019-08-05T22:04:40.000Z;58;null;5
2019-08-05T22:04:50.000Z;84;null;5
2019-08-05T22:05:00.000Z;240;null;5
2019-08-05T22:05:10.000Z;453;null;5
2019-08-05T22:05:20.000Z;457;null;5
2019-08-05T22:05:30.000Z;454;null;5
2019-08-05T22:05:40.000Z;685;null;5
2019-08-05T22:05:50.000Z;900;null;5
2019-08-05T22:06:00.000Z;437;null;5
2019-08-05T22:06:10.000Z;1154;null;4
2019-08-05T22:06:20.000Z;1026;null;4
2019-08-05T22:06:30.000Z;1164;null;4
2019-08-05T22:06:40.000Z;2203;null;3
