sep=;
Time;performance.gold.rps;performance.gold.latency
2019-08-05T21:59:50.000Z;null;null
2019-08-05T22:00:00.000Z;null;null
2019-08-05T22:00:10.000Z;null;null
2019-08-05T22:00:20.000Z;null;null
2019-08-05T22:00:30.000Z;null;null
2019-08-05T22:00:40.000Z;null;null
2019-08-05T22:00:50.000Z;0;0
2019-08-05T22:01:00.000Z;0;0
2019-08-05T22:01:10.000Z;0;0
2019-08-05T22:01:20.000Z;0;null
2019-08-05T22:01:30.000Z;0;null
2019-08-05T22:01:40.000Z;0.2;1477
2019-08-05T22:01:50.000Z;0.6;1886
2019-08-05T22:02:00.000Z;0.6;1905
2019-08-05T22:02:10.000Z;0.5;1811
2019-08-05T22:02:20.000Z;0.6;1997
2019-08-05T22:02:30.000Z;0.5;2207
2019-08-05T22:02:40.000Z;0.7;3891
2019-08-05T22:02:50.000Z;0.9;1420
2019-08-05T22:03:00.000Z;1.1;1581
2019-08-05T22:03:10.000Z;1;1280
2019-08-05T22:03:20.000Z;1.3;1923
2019-08-05T22:03:30.000Z;1.3;1802
2019-08-05T22:03:40.000Z;1.7;3414
2019-08-05T22:03:50.000Z;1.8;2988
2019-08-05T22:04:00.000Z;1.8;2901
2019-08-05T22:04:10.000Z;2;1993
2019-08-05T22:04:20.000Z;2.5;2512
2019-08-05T22:04:30.000Z;2.5;2415
2019-08-05T22:04:40.000Z;2.4;1631
2019-08-05T22:04:50.000Z;2.5;2400
2019-08-05T22:05:00.000Z;2.2;1688
2019-08-05T22:05:10.000Z;2.6;1608
2019-08-05T22:05:20.000Z;2.6;2802
2019-08-05T22:05:30.000Z;2.5;2076
2019-08-05T22:05:40.000Z;2.5;1683
2019-08-05T22:05:50.000Z;2.9;2375
2019-08-05T22:06:00.000Z;2.4;1307
2019-08-05T22:06:10.000Z;2.7;1912
2019-08-05T22:06:20.000Z;2.2;1484
2019-08-05T22:06:30.000Z;2.1;1900
2019-08-05T22:06:40.000Z;2.4;1709
2019-08-05T22:06:50.000Z;1.8;1390
2019-08-05T22:07:00.000Z;2;1696
2019-08-05T22:07:10.000Z;1.6;1695
2019-08-05T22:07:20.000Z;0.7;1610
2019-08-05T22:07:30.000Z;0.6;1414
2019-08-05T22:07:40.000Z;0.8;1488
2019-08-05T22:07:50.000Z;0.7;1613
2019-08-05T22:08:00.000Z;0.7;1306
2019-08-05T22:08:10.000Z;0.7;1509
2019-08-05T22:08:20.000Z;0.7;null
2019-08-05T22:08:30.000Z;0.7;null
2019-08-05T22:08:40.000Z;0.2;1895
2019-08-05T22:08:50.000Z;0.6;1780
2019-08-05T22:09:00.000Z;0.6;1519
2019-08-05T22:09:10.000Z;0.7;3220
2019-08-05T22:09:20.000Z;1;1000
2019-08-05T22:09:30.000Z;1.1;2192
2019-08-05T22:09:40.000Z;1.1;2715
2019-08-05T22:09:50.000Z;1.3;2085
2019-08-05T22:10:00.000Z;1.7;2398
2019-08-05T22:10:10.000Z;1.6;1925
2019-08-05T22:10:20.000Z;1.9;1609
2019-08-05T22:10:30.000Z;2;1604
2019-08-05T22:10:40.000Z;1.8;1283
2019-08-05T22:10:50.000Z;2.5;2509
2019-08-05T22:11:00.000Z;2.2;3093
2019-08-05T22:11:10.000Z;2.4;6
2019-08-05T22:11:20.000Z;3.6;1571
2019-08-05T22:11:30.000Z;5;1424
2019-08-05T22:11:40.000Z;5.1;1524
2019-08-05T22:11:50.000Z;5.6;1399
