sep=;
Time;cpu/usage_rate.sum;cpu/request.sum;performance.gold.users
2019-08-05T21:17:10.000Z;9;null;null
2019-08-05T21:17:20.000Z;1905;null;null
2019-08-05T21:17:30.000Z;1702;null;null
2019-08-05T21:17:40.000Z;1909;null;0
2019-08-05T21:17:50.000Z;1531;null;0
2019-08-05T21:18:00.000Z;1565;null;9
2019-08-05T21:18:10.000Z;1771;null;9
2019-08-05T21:18:20.000Z;1540;null;9
2019-08-05T21:18:30.000Z;1997;null;9
2019-08-05T21:18:40.000Z;1994;null;9
2019-08-05T21:18:50.000Z;1996;null;9
2019-08-05T21:19:00.000Z;2022;null;9
2019-08-05T21:19:10.000Z;1697;null;9
2019-08-05T21:19:20.000Z;2029;null;9
2019-08-05T21:19:30.000Z;1991;null;9
2019-08-05T21:19:40.000Z;1999;null;9
2019-08-05T21:19:50.000Z;1968;null;9
2019-08-05T21:20:00.000Z;1515;null;9
2019-08-05T21:20:10.000Z;1992;2251;9
2019-08-05T21:20:20.000Z;2027;null;9
2019-08-05T21:20:30.000Z;2075;null;9
2019-08-05T21:20:40.000Z;1577;null;9
2019-08-05T21:20:50.000Z;1860;null;9
2019-08-05T21:21:00.000Z;1774;null;9
2019-08-05T21:21:10.000Z;1794;null;9
2019-08-05T21:21:20.000Z;1902;null;9
2019-08-05T21:21:30.000Z;2023;null;9
2019-08-05T21:21:40.000Z;1771;null;9
2019-08-05T21:21:50.000Z;1995;null;9
2019-08-05T21:22:00.000Z;1534;null;9
2019-08-05T21:22:10.000Z;2005;null;9
2019-08-05T21:22:20.000Z;1726;null;9
2019-08-05T21:22:30.000Z;2015;null;9
2019-08-05T21:22:40.000Z;1543;null;9
2019-08-05T21:22:50.000Z;2053;null;9
2019-08-05T21:23:00.000Z;1933;null;9
2019-08-05T21:23:10.000Z;2102;null;9
2019-08-05T21:23:20.000Z;1588;null;9
2019-08-05T21:23:30.000Z;1759;null;9
2019-08-05T21:23:40.000Z;undefined;null;9
2019-08-05T21:23:50.000Z;undefined;null;9
2019-08-05T21:24:00.000Z;undefined;null;9
2019-08-05T21:24:10.000Z;undefined;null;9
2019-08-05T21:24:20.000Z;undefined;null;9
2019-08-05T21:24:30.000Z;undefined;null;9
2019-08-05T21:24:40.000Z;undefined;null;9
2019-08-05T21:24:50.000Z;undefined;null;9
2019-08-05T21:25:00.000Z;undefined;null;9
2019-08-05T21:25:10.000Z;undefined;2251;9
2019-08-05T21:25:20.000Z;undefined;null;9
2019-08-05T21:25:30.000Z;undefined;null;9
2019-08-05T21:25:40.000Z;undefined;null;9
2019-08-05T21:25:50.000Z;undefined;null;9
2019-08-05T21:26:00.000Z;undefined;null;9
2019-08-05T21:26:10.000Z;undefined;null;9
2019-08-05T21:26:20.000Z;undefined;null;9
2019-08-05T21:26:30.000Z;undefined;null;9
2019-08-05T21:26:40.000Z;undefined;null;9
2019-08-05T21:26:50.000Z;undefined;null;9
2019-08-05T21:27:00.000Z;undefined;null;9
2019-08-05T21:27:10.000Z;undefined;null;9
2019-08-05T21:27:20.000Z;undefined;null;9
2019-08-05T21:27:30.000Z;undefined;null;9
2019-08-05T21:27:40.000Z;undefined;null;9
2019-08-05T21:27:50.000Z;undefined;null;9
2019-08-05T21:28:00.000Z;undefined;null;0
2019-08-05T21:28:10.000Z;undefined;null;0
2019-08-05T21:28:20.000Z;undefined;null;0
2019-08-05T21:28:30.000Z;undefined;null;0
2019-08-05T21:28:40.000Z;undefined;null;0
2019-08-05T21:18:41.000Z;undefined;null;undefined
2019-08-05T21:18:41.500Z;undefined;null;undefined
2019-08-05T21:18:42.000Z;undefined;null;undefined
2019-08-05T21:18:42.500Z;undefined;null;undefined
2019-08-05T21:18:43.000Z;undefined;null;undefined
2019-08-05T21:18:43.500Z;undefined;null;undefined
2019-08-05T21:18:44.000Z;undefined;null;undefined
2019-08-05T21:18:44.500Z;undefined;null;undefined
2019-08-05T21:18:45.000Z;undefined;2250;undefined
2019-08-05T21:18:45.500Z;undefined;null;undefined
2019-08-05T21:18:46.000Z;undefined;null;undefined
2019-08-05T21:18:46.500Z;undefined;null;undefined
2019-08-05T21:18:47.000Z;undefined;null;undefined
2019-08-05T21:18:47.500Z;undefined;null;undefined
2019-08-05T21:18:48.000Z;undefined;null;undefined
2019-08-05T21:18:48.500Z;undefined;null;undefined
2019-08-05T21:18:49.000Z;undefined;null;undefined
2019-08-05T21:18:49.500Z;undefined;null;undefined
2019-08-05T21:18:50.000Z;undefined;null;undefined
2019-08-05T21:18:50.500Z;undefined;null;undefined
2019-08-05T21:18:51.000Z;undefined;null;undefined
2019-08-05T21:18:51.500Z;undefined;null;undefined
2019-08-05T21:18:52.000Z;undefined;null;undefined
2019-08-05T21:18:52.500Z;undefined;null;undefined
2019-08-05T21:18:53.000Z;undefined;null;undefined
2019-08-05T21:18:53.500Z;undefined;null;undefined
2019-08-05T21:18:54.000Z;undefined;null;undefined
2019-08-05T21:18:54.500Z;undefined;null;undefined
2019-08-05T21:18:55.000Z;undefined;null;undefined
2019-08-05T21:18:55.500Z;undefined;null;undefined
2019-08-05T21:18:56.000Z;undefined;null;undefined
2019-08-05T21:18:56.500Z;undefined;null;undefined
2019-08-05T21:18:57.000Z;undefined;null;undefined
2019-08-05T21:18:57.500Z;undefined;null;undefined
2019-08-05T21:18:58.000Z;undefined;null;undefined
2019-08-05T21:18:58.500Z;undefined;null;undefined
2019-08-05T21:18:59.000Z;undefined;null;undefined
2019-08-05T21:18:59.500Z;undefined;null;undefined
2019-08-05T21:19:00.000Z;undefined;2250;undefined
2019-08-05T21:19:00.500Z;undefined;null;undefined
2019-08-05T21:19:01.000Z;undefined;null;undefined
2019-08-05T21:19:01.500Z;undefined;null;undefined
2019-08-05T21:19:02.000Z;undefined;null;undefined
2019-08-05T21:19:02.500Z;undefined;null;undefined
2019-08-05T21:19:03.000Z;undefined;null;undefined
2019-08-05T21:19:03.500Z;undefined;null;undefined
2019-08-05T21:19:04.000Z;undefined;null;undefined
2019-08-05T21:19:04.500Z;undefined;null;undefined
2019-08-05T21:19:05.000Z;undefined;null;undefined
2019-08-05T21:19:05.500Z;undefined;null;undefined
2019-08-05T21:19:06.000Z;undefined;null;undefined
2019-08-05T21:19:06.500Z;undefined;null;undefined
2019-08-05T21:19:07.000Z;undefined;null;undefined
2019-08-05T21:19:07.500Z;undefined;null;undefined
2019-08-05T21:19:08.000Z;undefined;null;undefined
2019-08-05T21:19:08.500Z;undefined;null;undefined
2019-08-05T21:19:09.000Z;undefined;null;undefined
2019-08-05T21:19:09.500Z;undefined;null;undefined
2019-08-05T21:19:10.000Z;undefined;null;undefined
2019-08-05T21:19:10.500Z;undefined;null;undefined
2019-08-05T21:19:11.000Z;undefined;null;undefined
2019-08-05T21:19:11.500Z;undefined;null;undefined
2019-08-05T21:19:12.000Z;undefined;null;undefined
2019-08-05T21:19:12.500Z;undefined;null;undefined
2019-08-05T21:19:13.000Z;undefined;null;undefined
2019-08-05T21:19:13.500Z;undefined;null;undefined
2019-08-05T21:19:14.000Z;undefined;null;undefined
2019-08-05T21:19:14.500Z;undefined;null;undefined
2019-08-05T21:19:15.000Z;undefined;2250;undefined
2019-08-05T21:19:15.500Z;undefined;null;undefined
2019-08-05T21:19:16.000Z;undefined;null;undefined
2019-08-05T21:19:16.500Z;undefined;null;undefined
2019-08-05T21:19:17.000Z;undefined;null;undefined
2019-08-05T21:19:17.500Z;undefined;null;undefined
2019-08-05T21:19:18.000Z;undefined;null;undefined
2019-08-05T21:19:18.500Z;undefined;null;undefined
2019-08-05T21:19:19.000Z;undefined;null;undefined
2019-08-05T21:19:19.500Z;undefined;null;undefined
2019-08-05T21:19:20.000Z;undefined;null;undefined
2019-08-05T21:19:20.500Z;undefined;null;undefined
2019-08-05T21:19:21.000Z;undefined;null;undefined
2019-08-05T21:19:21.500Z;undefined;null;undefined
2019-08-05T21:19:22.000Z;undefined;null;undefined
2019-08-05T21:19:22.500Z;undefined;null;undefined
2019-08-05T21:19:23.000Z;undefined;null;undefined
2019-08-05T21:19:23.500Z;undefined;null;undefined
2019-08-05T21:19:24.000Z;undefined;null;undefined
2019-08-05T21:19:24.500Z;undefined;null;undefined
2019-08-05T21:19:25.000Z;undefined;null;undefined
2019-08-05T21:19:25.500Z;undefined;null;undefined
2019-08-05T21:19:26.000Z;undefined;null;undefined
2019-08-05T21:19:26.500Z;undefined;null;undefined
2019-08-05T21:19:27.000Z;undefined;null;undefined
2019-08-05T21:19:27.500Z;undefined;null;undefined
2019-08-05T21:19:28.000Z;undefined;null;undefined
2019-08-05T21:19:28.500Z;undefined;null;undefined
2019-08-05T21:19:29.000Z;undefined;null;undefined
2019-08-05T21:19:29.500Z;undefined;null;undefined
2019-08-05T21:19:30.000Z;undefined;2250;undefined
2019-08-05T21:19:30.500Z;undefined;null;undefined
2019-08-05T21:19:31.000Z;undefined;null;undefined
2019-08-05T21:19:31.500Z;undefined;null;undefined
2019-08-05T21:19:32.000Z;undefined;null;undefined
