sep=;
Time;performance.gold.rps;performance.gold.latency
2019-08-05T21:17:10.000Z;null;null
2019-08-05T21:17:20.000Z;null;null
2019-08-05T21:17:30.000Z;null;null
2019-08-05T21:17:40.000Z;0;0
2019-08-05T21:17:50.000Z;0;0
2019-08-05T21:18:00.000Z;0;5
2019-08-05T21:18:10.000Z;1.8;3063
2019-08-05T21:18:20.000Z;4.1;1898
2019-08-05T21:18:30.000Z;4.7;1365
2019-08-05T21:18:40.000Z;5;2022
2019-08-05T21:18:50.000Z;4.9;1908
2019-08-05T21:19:00.000Z;4.2;2040
2019-08-05T21:19:10.000Z;4.8;1628
2019-08-05T21:19:20.000Z;4.9;1401
2019-08-05T21:19:30.000Z;5;2521
2019-08-05T21:19:40.000Z;4.8;1875
2019-08-05T21:19:50.000Z;4.7;2253
2019-08-05T21:20:00.000Z;4.7;1800
2019-08-05T21:20:10.000Z;4.7;2400
2019-08-05T21:20:20.000Z;4.5;1032
2019-08-05T21:20:30.000Z;5;1892
2019-08-05T21:20:40.000Z;4.8;1997
2019-08-05T21:20:50.000Z;5;1020
2019-08-05T21:21:00.000Z;4.7;1849
2019-08-05T21:21:10.000Z;4.6;1413
2019-08-05T21:21:20.000Z;4.7;2088
2019-08-05T21:21:30.000Z;4.6;1426
2019-08-05T21:21:40.000Z;4.6;1884
2019-08-05T21:21:50.000Z;5;2044
2019-08-05T21:22:00.000Z;4.8;1185
2019-08-05T21:22:10.000Z;5.1;1857
2019-08-05T21:22:20.000Z;4.9;1494
2019-08-05T21:22:30.000Z;5;2100
2019-08-05T21:22:40.000Z;4.9;2102
2019-08-05T21:22:50.000Z;5.4;1912
2019-08-05T21:23:00.000Z;4.6;2298
2019-08-05T21:23:10.000Z;5.2;1622
2019-08-05T21:23:20.000Z;4.9;1386
2019-08-05T21:23:30.000Z;5;1173
2019-08-05T21:23:40.000Z;5;1346
2019-08-05T21:23:50.000Z;4.9;2496
2019-08-05T21:24:00.000Z;5.2;1118
2019-08-05T21:24:10.000Z;4.7;1698
2019-08-05T21:24:20.000Z;4.4;1126
2019-08-05T21:24:30.000Z;5.1;1496
2019-08-05T21:24:40.000Z;5.1;1517
2019-08-05T21:24:50.000Z;5;2337
2019-08-05T21:25:00.000Z;4.5;1381
2019-08-05T21:25:10.000Z;4.4;2132
2019-08-05T21:25:20.000Z;4.3;1999
2019-08-05T21:25:30.000Z;5;1990
2019-08-05T21:25:40.000Z;4.7;1875
2019-08-05T21:25:50.000Z;4.6;1928
2019-08-05T21:26:00.000Z;5;1487
2019-08-05T21:26:10.000Z;5;1897
2019-08-05T21:26:20.000Z;4.9;1979
2019-08-05T21:26:30.000Z;4.6;1374
2019-08-05T21:26:40.000Z;4.5;1735
2019-08-05T21:26:50.000Z;4.5;1515
2019-08-05T21:27:00.000Z;4.9;2081
2019-08-05T21:27:10.000Z;5.2;1811
2019-08-05T21:27:20.000Z;4.7;1610
2019-08-05T21:27:30.000Z;4.6;2251
2019-08-05T21:27:40.000Z;4.2;1646
2019-08-05T21:27:50.000Z;4.7;1502
2019-08-05T21:28:00.000Z;0;0
2019-08-05T21:28:10.000Z;0;0
2019-08-05T21:28:20.000Z;0;0
2019-08-05T21:28:30.000Z;0;0
2019-08-05T21:28:40.000Z;0;0
