




REPORT optimizer 0 :
config #	workerCPU	workerReplicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	
0	860	1	800	0.14085914085914086	3.63	273	0	3.6	278	0	
1	640	1	800	0.36063936063936064	1.41	710	0	1.4	713	0	
2	760	1	800	0.2407592407592407	3.34	298	0	3.34	301	0	
3	900	1	800	0.10089910089910092	3.74	264	0	3.86	259	0	
4	560	1	800	0.4405594405594405	1.14	871	0	1.14	878	0	
5	740	1	800	0.2607392607392608	2.8	359	0	2.78	358	0	
6	380	1	800	0	0.29	3398	0	0.29	3426	0	
7	700	1	800	0.30069930069930073	2.98	340	0	2.94	341	0	
8	580	1	800	0.42057942057942055	0.92	1097	0	0.92	1088	0	
9	40	1	800	0	0.03	30111	1	0.03	30613	1	
10	800	1	800	0.20079920079920077	3.48	286	0	3.48	289	0	
11	20	1	800	0	0.03	30420	1	0.03	30926	1	
12	240	1	800	0	0.07	14825	1	0.07	14927	1	
13	60	1	800	0	0.03	30198	1	0.03	30696	1	
14	720	1	800	0.28071928071928076	1.23	813	0	1.25	809	0	
15	220	1	800	0	0.03	30383	1	0.03	30881	1	
16	140	1	800	0	0.03	30276	1	0.03	30775	1	
17	880	1	800	0.1208791208791209	3.31	300	0	3.35	299	0	
18	900	1	800	0.10089910089910092	3.74	264	0	3.86	259	0	
19	240	1	800	0	0.07	14825	1	0.07	14927	1	
20	580	1	800	0.42057942057942055	0.92	1097	0	0.92	1088	0	
21	320	1	800	0	0.28	3551	0	0.28	3576	0	
22	820	1	800	0.1808191808191808	2.87	347	0	2.9	346	0	
23	120	1	800	0	0.03	30100	1	0.03	30598	1	
24	500	1	800	0.5004995004995005	0.79	1278	0	0.8	1262	0	
25	600	1	800	0.4005994005994006	0.68	1473	0	0.68	1462	0	
26	660	1	800	0.34065934065934067	2.68	370	0	2.68	378	0	
27	180	1	800	0	0.03	30474	1	0.03	30980	1	
28	300	1	800	0	0.27	3654	0	0.27	3679	0	
29	280	1	800	0	0.21	4924	0	0.19	5319	0	
30	340	1	800	0	0.27	3709	0	0.29	3521	0	
31	120	1	800	0	0.03	30100	1	0.03	30598	1	
32	480	1	800	0	0.42	2349	0	0.44	2281	0	
33	780	1	800	0.22077922077922074	3.28	304	0	3.23	306	0	
34	260	1	800	0	0.17	5901	0	0.17	5850	0	
35	540	1	800	0.4605394605394605	0.64	1557	0	0.66	1529	0	
36	460	1	800	0	0.39	2466	0	0.41	2446	0	
37	180	1	800	0	0.03	30474	1	0.03	30980	1	
38	720	1	800	0.28071928071928076	1.23	813	0	1.25	809	0	
39	420	1	800	0	0.39	2600	0	0.39	2582	0	
40	400	1	800	0	0.26	3833	0	0.28	3629	0	
41	940	1	800	0.060939060939060985	5.97	167	0	6.04	166	0	
42	620	1	800	0.3806193806193806	1.08	932	0	1.06	938	0	
43	840	1	800	0.16083916083916083	4.06	246	0	4.05	249	0	
44	80	1	800	0	0.03	30206	1	0.03	30705	1	
45	440	1	800	0	0.45	2232	0	0.47	2168	0	
46	360	1	800	0	0.34	2957	0	0.32	3086	0	
47	80	1	800	0	0.03	30206	1	0.03	30705	1	
48	960	1	800	0.040959040959040904	5.04	197	0	5.1	196	0	
49	520	1	800	0.48051948051948057	0.88	1141	0	0.87	1152	0	
 


