




REPORT optimizer 0 :
config #	workerCPU	workerReplicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	
0	860	1	800	0.14085914085914086	1.51	665	0	1.49	659	0	
1	640	1	800	0.36063936063936064	1.03	980	0	1.03	977	0	
2	760	1	800	0.2407592407592407	1.22	814	0	1.22	815	0	
3	900	1	800	0.10089910089910092	1.31	767	0	1.3	761	0	
4	560	1	800	0.4405594405594405	0.8	1247	0	0.8	1251	0	
5	740	1	800	0.2607392607392608	1.22	815	0	1.22	811	0	
6	380	1	800	0	0.29	3437	0	0.31	3301	0	
7	700	1	800	0.30069930069930073	0.91	1092	0	0.91	1096	0	
8	580	1	800	0.42057942057942055	0.72	1372	0	0.72	1382	0	
9	40	1	800	0	0.03	30658	1	0.03	30212	1	
10	800	1	800	0.20079920079920077	1.45	687	0	1.43	693	0	
11	20	1	800	0	0.03	30408	1	0.03	30909	1	
12	240	1	800	0	0.08	11574	1	0.08	11735	1	
13	60	1	800	0	0.03	30593	1	0.03	30099	1	
14	720	1	800	0.28071928071928076	1.12	876	0	1.16	866	0	
15	220	1	800	0	0.05	19475	1	0.05	19664	1	
16	140	1	800	0	0.03	30334	1	0.03	30831	1	
17	880	1	800	0.1208791208791209	1.35	730	0	1.35	732	0	
18	900	1	800	0.10089910089910092	1.31	767	0	1.3	761	0	
19	240	1	800	0	0.08	11574	1	0.08	11735	1	
20	580	1	800	0.42057942057942055	0.72	1372	0	0.72	1382	0	
21	320	1	800	0	0.24	4066	0	0.24	4136	0	
22	820	1	800	0.1808191808191808	1.11	908	0	1.08	925	0	
23	120	1	800	0	0.03	30293	1	0.03	30834	1	
24	500	1	800	0.5004995004995005	0.67	1474	0	0.69	1459	0	
25	600	1	800	0.4005994005994006	0.96	1043	0	0.96	1040	0	
26	660	1	800	0.34065934065934067	1.01	996	0	1.01	993	0	
27	180	1	800	0	0.03	30210	1	0.03	30710	1	
28	300	1	800	0	0.17	5694	0	0.19	5386	0	
29	280	1	800	0	0.16	6248	0	0.16	6017	0	
30	340	1	800	0	0.24	4150	0	0.22	4331	0	
31	120	1	800	0	0.03	30293	1	0.03	30834	1	
32	480	1	800	0	0.46	2184	0	0.47	2139	0	
33	780	1	800	0.22077922077922074	1.33	754	0	1.33	757	0	
34	260	1	800	0	0.12	8322	0	0.12	8392	0	
35	540	1	800	0.4605394605394605	0.68	1480	0	0.68	1484	0	
36	460	1	800	0	0.47	2085	0	0.47	2111	0	
37	180	1	800	0	0.03	30210	1	0.03	30710	1	
38	720	1	800	0.28071928071928076	1.12	876	0	1.16	866	0	
39	420	1	800	0	0.41	2466	0	0.39	2530	0	
40	400	1	800	0	0.39	2568	0	0.39	2565	0	
41	940	1	800	0.060939060939060985	1.3	768	0	1.3	764	0	
42	620	1	800	0.3806193806193806	0.86	1177	0	0.86	1182	0	
43	840	1	800	0.16083916083916083	1.45	686	0	1.49	678	0	
44	80	1	800	0	0.03	30375	1	0.03	30881	1	
45	440	1	800	0	0.27	3540	0	0.27	3690	0	
46	360	1	800	0	0.27	3659	0	0.27	3428	0	
47	80	1	800	0	0.03	30375	1	0.03	30881	1	
48	960	1	800	0.040959040959040904	1.54	652	0	1.54	656	0	
49	520	1	800	0.48051948051948057	0.8	1260	0	0.8	1257	0	
 


