




REPORT optimizer 0 :
config #	workerCPU	workerReplicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	
0	860	1	800	0.14085914085914086	0.87	1127	0	0.89	1123	0	0.87	1127	0	
1	640	1	800	0.36063936063936064	0.55	1801	0	0.55	1799	0	0.54	1821	0	
2	760	1	800	0.2407592407592407	0.75	1335	0	0.75	1343	0	0.76	1322	0	
3	900	1	800	0.10089910089910092	0.93	1088	0	0.9	1112	0	0.91	1087	0	
4	560	1	800	0.4405594405594405	0.52	1922	0	0.5	1947	0	0.52	1924	0	
5	740	1	800	0.2607392607392608	0.74	1330	0	0.74	1341	0	0.74	1331	0	
6	380	1	800	0	0.17	5860	0	0.15	5998	0	0.15	6215	0	
7	700	1	800	0.30069930069930073	0.67	1456	0	0.69	1446	0	0.69	1447	0	
8	580	1	800	0	0.44	2224	0	0.44	2221	0	0.46	2181	0	
9	40	1	800	0	0.03	30439	1	0.03	30186	1	0.03	30871	1	
10	800	1	800	0.20079920079920077	0.86	1162	0	0.86	1163	0	0.86	1163	0	
11	20	1	800	0	0.03	30945	1	0.03	30779	1	0.03	30299	1	
12	240	1	800	0	0.05	16726	1	0.05	17276	1	0.05	18375	1	
13	60	1	800	0	0.03	30749	1	0.03	30501	1	0.03	30331	1	
14	720	1	800	0.28071928071928076	0.77	1292	0	0.77	1293	0	0.78	1287	0	
15	220	1	800	0	0.03	26901	1	0.03	27982	1	0.03	27276	1	
16	140	1	800	0	0.03	30726	1	0.03	30973	1	0.03	30474	1	
17	880	1	800	0.1208791208791209	0.88	1138	0	0.88	1138	0	0.86	1141	0	
18	900	1	800	0.10089910089910092	0.93	1088	0	0.9	1112	0	0.91	1087	0	
19	240	1	800	0	0.05	16726	1	0.05	17276	1	0.05	18375	1	
20	580	1	800	0	0.44	2224	0	0.44	2221	0	0.46	2181	0	
21	320	1	800	0	0.15	6212	0	0.13	6783	0	0.15	6274	0	
22	820	1	800	0.1808191808191808	0.87	1129	0	0.87	1130	0	0.87	1137	0	
23	120	1	800	0	0.03	30893	1	0.03	30549	1	0.03	30379	1	
24	500	1	800	0	0.37	2646	0	0.39	2586	0	0.39	2581	0	
25	600	1	800	0.4005994005994006	0.56	1805	0	0.54	1808	0	0.54	1807	0	
26	660	1	800	0.34065934065934067	0.54	1858	0	0.54	1859	0	0.52	1883	0	
27	180	1	800	0	0.03	30088	1	0.03	30334	1	0.03	30590	1	
28	300	1	800	0	0.12	7785	0	0.12	8099	0	0.12	7905	0	
29	280	1	800	0	0.14	7121	0	0.12	7557	0	0.12	7663	0	
30	340	1	800	0	0.16	6248	0	0.16	6153	0	0.17	5815	0	
31	120	1	800	0	0.03	30893	1	0.03	30549	1	0.03	30379	1	
32	480	1	800	0	0.37	2683	0	0.37	2637	0	0.37	2689	0	
33	780	1	800	0.22077922077922074	0.86	1161	0	0.86	1161	0	0.86	1161	0	
34	260	1	800	0	0.07	13155	0	0.09	11485	0	0.07	13671	0	
35	540	1	800	0	0.4	2403	0	0.4	2407	0	0.42	2388	0	
36	460	1	800	0	0.32	3083	0	0.32	3076	0	0.31	3173	0	
37	180	1	800	0	0.03	30088	1	0.03	30334	1	0.03	30590	1	
38	720	1	800	0.28071928071928076	0.77	1292	0	0.77	1293	0	0.78	1287	0	
39	420	1	800	0	0.27	3702	0	0.25	3783	0	0.27	3681	0	
40	400	1	800	0	0.2	4840	0	0.2	4949	0	0.2	4930	0	
41	940	1	800	0.060939060939060985	0.7	1412	0	0.7	1412	0	0.69	1423	0	
42	620	1	800	0.3806193806193806	0.57	1747	0	0.56	1768	0	0.57	1748	0	
43	840	1	800	0.16083916083916083	0.77	1273	0	0.77	1278	0	0.79	1261	0	
44	80	1	800	0	0.03	30212	1	0.03	30454	1	0.03	30712	1	
45	440	1	800	0	0.31	3285	0	0.31	3294	0	0.31	3275	0	
46	360	1	800	0	0.17	5854	0	0.17	5661	0	0.17	5491	0	
47	80	1	800	0	0.03	30212	1	0.03	30454	1	0.03	30712	1	
48	960	1	800	0.040959040959040904	0.85	1164	0	0.88	1142	0	0.87	1155	0	
49	520	1	800	0	0.43	2267	0	0.43	2276	0	0.43	2261	0	
 


