




REPORT optimizer 0 :
config #	workerCPU	workerReplicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	
0	860	1	800	0.14085914085914086	0.67	1473	0	0.67	1470	0	0.69	1460	0	0.67	1472	0	
1	640	1	800	0.36063936063936064	0.61	1642	0	0.59	1659	0	0.61	1643	0	0.61	1645	0	
2	760	1	800	0.2407592407592407	0.81	1223	0	0.81	1219	0	0.83	1208	0	0.83	1213	0	
3	900	1	800	0.10089910089910092	0.91	1106	0	0.89	1108	0	0.89	1108	0	0.89	1109	0	
4	560	1	800	0	0.49	2010	0	0.51	1985	0	0.49	2014	0	0.51	1982	0	
5	740	1	800	0.2607392607392608	0.77	1314	0	0.77	1314	0	0.75	1319	0	0.77	1313	0	
6	380	1	800	0	0.17	5869	0	0.15	6096	0	0.17	5921	0	0.17	5895	0	
7	700	1	800	0.30069930069930073	0.73	1365	0	0.74	1358	0	0.73	1366	0	0.73	1353	0	
8	580	1	800	0	0.49	2005	0	0.49	2022	0	0.49	2009	0	0.49	2014	0	
9	40	1	800	0	0.03	30317	1	0.03	30070	1	0.03	30821	1	0.03	30566	1	
10	800	1	800	0.20079920079920077	0.79	1245	0	0.8	1240	0	0.8	1241	0	0.79	1246	0	
11	20	1	800	0	0.03	30293	1	0.03	30999	1	0.03	30789	1	0.03	30547	1	
12	240	1	800	0	0.05	18369	1	0.05	17682	1	0.05	18605	1	0.07	14511	1	
13	60	1	800	0	0.03	30415	1	0.03	30159	1	0.03	30663	1	0.03	30844	1	
14	720	1	800	0.28071928071928076	0.71	1387	0	0.73	1379	0	0.73	1379	0	0.73	1378	0	
15	220	1	800	0	0.03	30385	1	0.03	30846	1	0.03	30592	1	0.03	30136	1	
16	140	1	800	0	0.03	30501	1	0.03	31060	1	0.03	30310	1	0.03	30751	1	
17	880	1	800	0.1208791208791209	0.91	1096	0	0.93	1084	0	0.9	1102	0	0.9	1103	0	
18	900	1	800	0.10089910089910092	0.91	1106	0	0.89	1108	0	0.89	1108	0	0.89	1109	0	
19	240	1	800	0	0.05	18369	1	0.05	17682	1	0.05	18605	1	0.07	14511	1	
20	580	1	800	0	0.49	2005	0	0.49	2022	0	0.49	2009	0	0.49	2014	0	
21	320	1	800	0	0.14	7078	0	0.14	6756	0	0.14	6968	0	0.14	6890	0	
22	820	1	800	0.1808191808191808	0.89	1114	0	0.91	1098	0	0.89	1109	0	0.91	1094	0	
23	120	1	800	0	0.03	30636	1	0.03	30451	1	0.03	30892	1	0.03	30196	1	
24	500	1	800	0	0.37	2636	0	0.37	2682	0	0.37	2685	0	0.37	2644	0	
25	600	1	800	0.4005994005994006	0.59	1693	0	0.59	1696	0	0.57	1694	0	0.59	1694	0	
26	660	1	800	0.34065934065934067	0.62	1606	0	0.62	1604	0	0.61	1618	0	0.62	1603	0	
27	180	1	800	0	0.03	30526	1	0.03	31051	1	0.03	30803	1	0.03	30287	1	
28	300	1	800	0	0.14	7246	0	0.14	7019	0	0.14	7110	0	0.15	6611	0	
29	280	1	800	0	0.1	9644	0	0.1	8990	0	0.1	8912	0	0.1	8820	0	
30	340	1	800	0	0.17	5937	0	0.15	6215	0	0.17	5822	0	0.15	6265	0	
31	120	1	800	0	0.03	30636	1	0.03	30451	1	0.03	30892	1	0.03	30196	1	
32	480	1	800	0	0.39	2587	0	0.37	2621	0	0.37	2627	0	0.39	2563	0	
33	780	1	800	0.22077922077922074	0.74	1352	0	0.72	1361	0	0.72	1361	0	0.74	1352	0	
34	260	1	800	0	0.09	11611	0	0.07	13337	0	0.09	11496	0	0.09	11780	0	
35	540	1	800	0	0.48	2055	0	0.47	2089	0	0.48	2058	0	0.47	2075	0	
36	460	1	800	0	0.37	2643	0	0.37	2658	0	0.37	2651	0	0.39	2593	0	
37	180	1	800	0	0.03	30526	1	0.03	31051	1	0.03	30803	1	0.03	30287	1	
38	720	1	800	0.28071928071928076	0.71	1387	0	0.73	1379	0	0.73	1379	0	0.73	1378	0	
39	420	1	800	0	0.17	5710	0	0.15	6054	0	0.17	5625	0	0.17	5914	0	
40	400	1	800	0	0.2	4893	0	0.2	4776	0	0.2	4871	0	0.2	4915	0	
41	940	1	800	0.060939060939060985	0.89	1102	0	0.91	1087	0	0.92	1081	0	0.91	1096	0	
42	620	1	800	0.3806193806193806	0.6	1650	0	0.6	1649	0	0.59	1649	0	0.6	1651	0	
43	840	1	800	0.16083916083916083	0.86	1154	0	0.88	1150	0	0.86	1155	0	0.86	1154	0	
44	80	1	800	0	0.03	30581	1	0.03	30320	1	0.03	30831	1	0.03	31082	1	
45	440	1	800	0	0.24	4261	0	0.22	4499	0	0.22	4469	0	0.22	4486	0	
46	360	1	800	0	0.17	5620	0	0.17	5561	0	0.19	5286	0	0.17	5593	0	
47	80	1	800	0	0.03	30581	1	0.03	30320	1	0.03	30831	1	0.03	31082	1	
48	960	1	800	0.040959040959040904	0.87	1154	0	0.87	1155	0	0.87	1152	0	0.88	1150	0	
49	520	1	800	0	0.29	3422	0	0.3	3302	0	0.29	3428	0	0.3	3309	0	
 


