




REPORT optimizer 0 :
config #	workerCPU	workerReplicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	
0	860	1	800	-1.1627906976744187	112.44	8	6551	110.98	8	6466	
1	640	1	800	-1.5625	1.92	526	0	1.95	512	0	
2	760	1	800	-1.3157894736842106	3.76	266	0	3.76	268	0	
3	900	1	800	-1.1111111111111112	12.72	78	0	12.67	78	0	
4	560	1	800	-1.7857142857142858	0.66	1519	0	0.66	1531	0	
5	740	1	800	-1.3513513513513513	3.1	326	0	3.09	325	0	
6	380	1	800	0	0.33	3044	0	0.33	2993	0	
7	700	1	800	-1.4285714285714286	3.77	267	0	3.73	267	0	
8	580	1	800	-1.7241379310344827	1.33	749	0	1.35	745	0	
9	40	1	800	0	0.03	31048	1	0.03	30553	1	
10	800	1	800	-1.25	3.89	256	0	3.89	259	0	
11	20	1	800	0	0.03	30989	1	0.03	30493	1	
12	240	1	800	0	0.09	11251	1	0.11	9461	1	
13	60	1	800	0	0.03	30407	1	0.03	30976	1	
14	720	1	800	-1.3888888888888888	3.77	268	0	3.74	268	0	
15	220	1	800	0	0.05	19504	1	0.05	19332	1	
16	140	1	800	0	0.03	30627	1	0.03	30174	1	
17	880	1	800	-1.1363636363636365	11.85	83	0	11.83	84	0	
18	900	1	800	-1.1111111111111112	12.72	78	0	12.67	78	0	
19	240	1	800	0	0.09	11251	1	0.11	9461	1	
20	580	1	800	-1.7241379310344827	1.33	749	0	1.35	745	0	
21	320	1	800	0	0.24	4155	0	0.22	4421	0	
22	820	1	800	-1.2195121951219512	5.51	182	0	5.46	182	0	
23	120	1	800	0	0.03	31066	1	0.03	30569	1	
24	500	1	800	0	0.36	2782	0	0.37	2679	0	
25	600	1	800	-1.6666666666666667	0.8	1231	0	0.8	1239	0	
26	660	1	800	-1.5151515151515151	1.44	693	0	1.46	691	0	
27	180	1	800	0	0.03	30060	1	0.03	30560	1	
28	300	1	800	0	0.15	6495	0	0.15	6542	0	
29	280	1	800	0	0.12	8272	0	0.12	8212	0	
30	340	1	800	0	0.29	3462	0	0.29	3433	0	
31	120	1	800	0	0.03	31066	1	0.03	30569	1	
32	480	1	800	0	0.41	2427	0	0.41	2447	0	
33	780	1	800	-1.2820512820512822	3.58	279	0	3.59	280	0	
34	260	1	800	0	0.14	7330	0	0.14	7279	0	
35	540	1	800	-1.8518518518518519	0.53	1897	0	0.56	1798	0	
36	460	1	800	0	0.33	3071	0	0.33	3046	0	
37	180	1	800	0	0.03	30060	1	0.03	30560	1	
38	720	1	800	-1.3888888888888888	3.77	268	0	3.74	268	0	
39	420	1	800	0	0.33	3046	0	0.34	2920	0	
40	400	1	800	0	0.31	3224	0	0.31	3197	0	
41	940	1	800	-1.0638297872340425	11.6	85	0	11.63	83	0	
42	620	1	800	-1.6129032258064515	1.45	686	0	1.47	685	0	
43	840	1	800	-1.1904761904761905	48.53	20	2688	48.39	20	2681	
44	80	1	800	0	0.03	30872	1	0.03	30375	1	
45	440	1	800	-2.272727272727273	3.03	328	0	3.05	328	0	
46	360	1	800	0	0.26	3938	0	0.26	3906	0	
47	80	1	800	0	0.03	30872	1	0.03	30375	1	
48	960	1	800	-1.0416666666666667	12.11	82	0	11.99	82	0	
49	520	1	800	-1.9230769230769231	0.54	1857	0	0.52	1901	0	
 


