




REPORT optimizer 0 :
config #	workerCPU	workerReplicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	
0	860	1	800	0.14085914085914086	0.69	1422	0	0.71	1423	0	0.69	1421	0	0.69	1420	0	0.69	1420	0	
1	640	1	800	0	0.45	2175	0	0.45	2170	0	0.47	2139	0	0.45	2172	0	0.45	2177	0	
2	760	1	800	0.2407592407592407	0.59	1668	0	0.61	1650	0	0.61	1653	0	0.61	1652	0	0.59	1666	0	
3	900	1	800	0.10089910089910092	0.72	1367	0	0.7	1399	0	0.7	1380	0	0.7	1379	0	0.72	1389	0	
4	560	1	800	0	0.39	2564	0	0.39	2571	0	0.39	2577	0	0.39	2561	0	0.37	2623	0	
5	740	1	800	0.2607392607392608	0.56	1784	0	0.56	1774	0	0.58	1742	0	0.59	1712	0	0.56	1775	0	
6	380	1	800	0	0.15	6325	0	0.15	5846	0	0.15	5947	0	0.17	5961	0	0.15	6425	0	
7	700	1	800	0.30069930069930073	0.57	1742	0	0.57	1737	0	0.57	1741	0	0.56	1756	0	0.57	1739	0	
8	580	1	800	0	0.42	2362	0	0.41	2379	0	0.42	2371	0	0.42	2356	0	0.42	2365	0	
9	40	1	800	0	0.03	30972	1	0.03	30587	1	0.03	30378	1	0.03	30775	1	0.03	30113	1	
10	800	1	800	0.20079920079920077	0.68	1418	0	0.7	1422	0	0.68	1429	0	0.68	1419	0	0.7	1422	0	
11	20	1	800	0	0.03	30847	1	0.03	30404	1	0.03	30991	1	0.03	30248	1	0.03	30603	1	
12	240	1	800	0	0.03	28721	1	0.03	28525	1	0.03	29219	1	0.02	30309	1	0.02	30896	1	
13	60	1	800	0	0.03	30371	1	0.03	30570	1	0.03	30759	1	0.03	30157	1	0.03	30974	1	
14	720	1	800	0.28071928071928076	0.6	1615	0	0.62	1604	0	0.62	1604	0	0.6	1617	0	0.62	1603	0	
15	220	1	800	0	0.03	29571	1	0.02	30855	1	0.02	30659	1	0.02	30458	1	0.03	29770	1	
16	140	1	800	0	0.03	30192	1	0.03	30564	1	0.03	30767	1	0.03	30896	1	0.03	30394	1	
17	880	1	800	0.1208791208791209	0.67	1479	0	0.69	1461	0	0.65	1483	0	0.67	1482	0	0.65	1496	0	
18	900	1	800	0.10089910089910092	0.72	1367	0	0.7	1399	0	0.7	1380	0	0.7	1379	0	0.72	1389	0	
19	240	1	800	0	0.03	28721	1	0.03	28525	1	0.03	29219	1	0.02	30309	1	0.02	30896	1	
20	580	1	800	0	0.42	2362	0	0.41	2379	0	0.42	2371	0	0.42	2356	0	0.42	2365	0	
21	320	1	800	0	0.14	7162	0	0.14	6999	0	0.14	7062	0	0.12	7686	0	0.12	7413	0	
22	820	1	800	0.1808191808191808	0.69	1423	0	0.7	1414	0	0.69	1423	0	0.7	1416	0	0.7	1416	0	
