




REPORT optimizer 0 :
config #	workerCPU	workerReplicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	Tenant-5 Throughtput	Tenant-5 avg Latency	Tenant-5 #Failures	
0	860	1	800	0.14085914085914086	0.61	1660	0	0.59	1656	0	0.59	1662	0	0.61	1658	0	0.59	1659	0	0.59	1658	0	
1	640	1	800	0	0.45	2205	0	0.44	2212	0	0.45	2202	0	0.44	2208	0	0.44	2242	0	0.44	2216	0	
2	760	1	800	0.2407592407592407	0.54	1786	0	0.56	1768	0	0.56	1765	0	0.56	1775	0	0.56	1771	0	0.56	1777	0	
3	900	1	800	0.10089910089910092	0.62	1587	0	0.62	1589	0	0.62	1584	0	0.62	1584	0	0.62	1588	0	0.64	1575	0	
4	560	1	800	0	0.34	2976	0	0.34	2959	0	0.32	3032	0	0.32	3042	0	0.34	2966	0	0.32	3051	0	
5	740	1	800	0.2607392607392608	0.54	1837	0	0.54	1859	0	0.53	1857	0	0.53	1858	0	0.54	1840	0	0.53	1856	0	
6	380	1	800	0	0.12	7998	0	0.12	7679	0	0.14	7332	0	0.14	7229	0	0.12	7591	0	0.14	7448	0	
7	700	1	800	0.30069930069930073	0.52	1894	0	0.52	1870	0	0.52	1902	0	0.52	1903	0	0.52	1896	0	0.52	1899	0	
8	580	1	800	0	0.35	2822	0	0.35	2816	0	0.34	2875	0	0.34	2893	0	0.34	2883	0	0.35	2809	0	
9	40	1	800	0	0.03	31083	1	0.03	30354	1	0.03	30745	1	0.03	30191	1	0.03	30579	1	0.03	30914	1	
10	800	1	800	0.20079920079920077	0.63	1573	0	0.63	1562	0	0.64	1539	0	0.66	1516	0	0.63	1594	0	0.63	1564	0	
11	20	1	800	0	0.03	30454	1	0.03	30288	1	0.03	30139	1	0.03	30968	1	0.03	30641	1	0.03	30797	1	
12	240	1	800	0	0.03	25471	1	0.05	19602	1	0.05	19428	1	0.03	26295	1	0.03	24939	1	0.03	26766	1	
13	60	1	800	0	0.03	30347	1	0.03	30511	1	0.03	31013	1	0.03	30590	1	0.03	30171	1	0.03	30760	1	
14	720	1	800	0.28071928071928076	0.53	1904	0	0.53	1875	0	0.53	1880	0	0.53	1877	0	0.53	1901	0	0.53	1899	0	
15	220	1	800	0	0.03	30829	1	0.03	31000	1	0.03	30332	1	0.03	30163	1	0.03	30668	1	0.03	30486	1	
16	140	1	800	0	0.03	31075	1	0.03	30426	1	0.03	30589	1	0.03	30902	1	0.03	30257	1	0.03	30734	1	
17	880	1	800	0.1208791208791209	0.59	1681	0	0.59	1685	0	0.59	1683	0	0.59	1678	0	0.59	1686	0	0.59	1688	0	
18	900	1	800	0.10089910089910092	0.62	1587	0	0.62	1589	0	0.62	1584	0	0.62	1584	0	0.62	1588	0	0.64	1575	0	
19	240	1	800	0	0.03	25471	1	0.05	19602	1	0.05	19428	1	0.03	26295	1	0.03	24939	1	0.03	26766	1	
20	580	1	800	0	0.35	2822	0	0.35	2816	0	0.34	2875	0	0.34	2893	0	0.34	2883	0	0.35	2809	0	
21	320	1	800	0	0.12	8098	0	0.14	7398	0	0.12	7789	0	0.12	7979	0	0.14	7460	0	0.12	8245	0	
22	820	1	800	0.1808191808191808	0.59	1658	0	0.59	1655	0	0.59	1656	0	0.61	1659	0	0.59	1661	0	0.61	1644	0	
23	120	1	800	0	0.03	30853	1	0.03	31016	1	0.03	30693	1	0.03	30265	1	0.03	30518	1	0.03	30095	1	
24	500	1	800	0	0.27	3602	0	0.27	3563	0	0.27	3589	0	0.28	3501	0	0.27	3575	0	0.28	3514	0	
25	600	1	800	0	0.42	2303	0	0.44	2258	0	0.44	2268	0	0.44	2274	0	0.42	2297	0	0.44	2264	0	
26	660	1	800	0	0.38	2643	0	0.38	2640	0	0.38	2650	0	0.38	2636	0	0.38	2655	0	0.38	2631	0	
27	180	1	800	0	0.03	30578	1	0.03	30978	1	0.03	30241	1	0.03	30701	1	0.03	30855	1	0.03	30383	1	
28	300	1	800	0	0.1	9401	0	0.1	9860	0	0.08	10430	0	0.08	10954	0	0.08	10689	0	0.08	10320	0	
29	280	1	800	0	0.05	17149	1	0.05	17935	1	0.05	17489	1	0.05	19088	1	0.05	18101	1	0.05	18591	1	
30	340	1	800	0	0.1	9197	0	0.1	8238	0	0.1	9714	0	0.1	8894	0	0.1	9387	0	0.1	9561	0	
31	120	1	800	0	0.03	30853	1	0.03	31016	1	0.03	30693	1	0.03	30265	1	0.03	30518	1	0.03	30095	1	
32	480	1	800	0	0.2	4851	0	0.22	4572	0	0.2	4833	0	0.22	4590	0	0.2	4814	0	0.2	4796	0	
33	780	1	800	0.22077922077922074	0.59	1693	0	0.57	1704	0	0.59	1688	0	0.57	1706	0	0.59	1690	0	0.59	1694	0	
34	260	1	800	0	0.05	18701	1	0.05	19341	1	0.05	17044	1	0.03	23704	1	0.05	17556	1	0.03	24044	1	
35	540	1	800	0	0.38	2596	0	0.38	2589	0	0.37	2652	0	0.37	2637	0	0.37	2644	0	0.37	2628	0	
36	460	1	800	0	0.16	6332	0	0.16	6425	0	0.16	6088	0	0.16	6169	0	0.14	6630	0	0.16	6252	0	
37	180	1	800	0	0.03	30578	1	0.03	30978	1	0.03	30241	1	0.03	30701	1	0.03	30855	1	0.03	30383	1	
38	720	1	800	0.28071928071928076	0.53	1904	0	0.53	1875	0	0.53	1880	0	0.53	1877	0	0.53	1901	0	0.53	1899	0	
39	420	1	800	0	0.2	4911	0	0.2	4892	0	0.18	5162	0	0.2	4866	0	0.18	5184	0	0.2	4938	0	
40	400	1	800	0	0.15	6244	0	0.15	6316	0	0.17	5894	0	0.17	5839	0	0.15	6208	0	0.15	6281	0	
41	940	1	800	0.060939060939060985	0.62	1602	0	0.61	1604	0	0.61	1617	0	0.62	1604	0	0.62	1606	0	0.62	1605	0	
42	620	1	800	0	0.4	2437	0	0.4	2422	0	0.4	2415	0	0.4	2455	0	0.4	2428	0	0.4	2433	0	
43	840	1	800	0.16083916083916083	0.57	1741	0	0.56	1755	0	0.56	1756	0	0.57	1737	0	0.57	1739	0	0.56	1758	0	
44	80	1	800	0	0.03	31079	1	0.03	30271	1	0.03	30511	1	0.03	30437	1	0.03	30783	1	0.03	30845	1	
45	440	1	800	0	0.15	6328	0	0.17	5909	0	0.15	6374	0	0.17	5861	0	0.17	5884	0	0.17	5932	0	
46	360	1	800	0	0.13	7383	0	0.12	7753	0	0.13	7328	0	0.13	7014	0	0.13	7092	0	0.13	7135	0	
47	80	1	800	0	0.03	31079	1	0.03	30271	1	0.03	30511	1	0.03	30437	1	0.03	30783	1	0.03	30845	1	
48	960	1	800	0.040959040959040904	0.62	1618	0	0.61	1617	0	0.61	1632	0	0.61	1614	0	0.61	1634	0	0.61	1616	0	
49	520	1	800	0	0.3	3284	0	0.3	3293	0	0.29	3385	0	0.3	3305	0	0.29	3395	0	0.29	3407	0	
 


