




REPORT optimizer 0 :
config #	workerCPU	workerReplicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	Tenant-5 Throughtput	Tenant-5 avg Latency	Tenant-5 #Failures	Tenant-6 Throughtput	Tenant-6 avg Latency	Tenant-6 #Failures	
0	840	1	800	0.16083916083916083	0.52	1892	0	0.52	1881	0	0.52	1884	0	0.52	1888	0	0.54	1869	0	0.52	1886	0	0.54	1867	0	
1	960	1	800	0	0.48	2013	0	0.5	1991	0	0.48	2015	0	0.5	1994	0	0.48	2019	0	0.48	2017	0	0.48	2021	0	
2	820	1	800	0.1808191808191808	0.51	1934	0	0.51	1937	0	0.51	1924	0	0.51	1931	0	0.51	1929	0	0.53	1913	0	0.51	1940	0	
3	920	1	800	0.08091908091908095	0.5	1965	0	0.5	1939	0	0.5	1934	0	0.5	1942	0	0.5	1963	0	0.5	1959	0	0.5	1937	0	
4	900	1	800	0.10089910089910092	0.5	1926	0	0.52	1901	0	0.52	1912	0	0.52	1909	0	0.52	1904	0	0.52	1907	0	0.5	1928	0	
5	880	1	800	0.1208791208791209	0.53	1877	0	0.53	1875	0	0.53	1883	0	0.54	1858	0	0.54	1865	0	0.53	1880	0	0.54	1862	0	
6	740	1	800	0	0.42	2302	0	0.43	2277	0	0.42	2307	0	0.43	2274	0	0.43	2265	0	0.43	2261	0	0.43	2269	0	
7	860	1	800	0.14085914085914086	0.54	1856	0	0.54	1854	0	0.52	1878	0	0.52	1860	0	0.54	1860	0	0.52	1876	0	0.54	1858	0	
8	960	1	800	0	0.48	2013	0	0.5	1991	0	0.48	2015	0	0.5	1994	0	0.48	2019	0	0.48	2017	0	0.48	2021	0	
9	920	1	800	0.08091908091908095	0.5	1965	0	0.5	1939	0	0.5	1934	0	0.5	1942	0	0.5	1963	0	0.5	1959	0	0.5	1937	0	
10	760	1	800	0	0.47	2077	0	0.47	2080	0	0.49	2060	0	0.49	2057	0	0.47	2091	0	0.47	2087	0	0.47	2084	0	
11	700	1	800	0	0.35	2782	0	0.35	2797	0	0.35	2786	0	0.35	2792	0	0.35	2811	0	0.35	2774	0	0.35	2804	0	
12	820	1	800	0.1808191808191808	0.51	1934	0	0.51	1937	0	0.51	1924	0	0.51	1931	0	0.51	1929	0	0.53	1913	0	0.51	1940	0	
13	740	1	800	0	0.42	2302	0	0.43	2277	0	0.42	2307	0	0.43	2274	0	0.43	2265	0	0.43	2261	0	0.43	2269	0	
14	720	1	800	0	0.44	2278	0	0.42	2314	0	0.44	2273	0	0.42	2306	0	0.44	2269	0	0.44	2281	0	0.42	2310	0	
15	780	1	800	0.22077922077922074	0.52	1889	0	0.52	1878	0	0.52	1895	0	0.52	1881	0	0.52	1891	0	0.52	1884	0	0.52	1898	0	
 


