




REPORT optimizer 0 :
config #	workerCPU	workerReplicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	Tenant-5 Throughtput	Tenant-5 avg Latency	Tenant-5 #Failures	Tenant-6 Throughtput	Tenant-6 avg Latency	Tenant-6 #Failures	Tenant-7 Throughtput	Tenant-7 avg Latency	Tenant-7 #Failures	Tenant-8 Throughtput	Tenant-8 avg Latency	Tenant-8 #Failures	Tenant-9 Throughtput	Tenant-9 avg Latency	Tenant-9 #Failures	
0	1200	1	800	0.0008326394671107629	0.68	1453	0	0.68	1455	0	0.68	1454	0	0.7	1445	0	0.7	1445	0	0.68	1455	0	0.7	1445	0	0.68	1454	0	0.7	1445	0	0.68	1454	0	
1	1200	1	1000	0.0008326394671107629	0.72	1356	0	0.72	1367	0	0.74	1361	0	0.72	1368	0	0.72	1368	0	0.72	1356	0	0.72	1357	0	0.72	1367	0	0.72	1367	0	0.72	1368	0	
2	1200	1	1400	0.0008326394671107629	0.74	1351	0	0.74	1341	0	0.74	1339	0	0.74	1351	0	0.74	1341	0	0.73	1348	0	0.74	1341	0	0.73	1348	0	0.73	1348	0	0.73	1348	0	
3	1200	1	1100	0.0008326394671107629	0.73	1332	0	0.73	1331	0	0.73	1333	0	0.73	1344	0	0.73	1343	0	0.72	1338	0	0.73	1344	0	0.73	1332	0	0.73	1333	0	0.73	1333	0	
4	1200	1	600	0.0008326394671107629	0.52	1893	0	0.52	1892	0	0.52	1893	0	0.52	1895	0	0.54	1868	0	0.54	1868	0	0.52	1894	0	0.52	1895	0	0.52	1892	0	0.52	1891	0	
5	1200	1	1300	0.0008326394671107629	0.74	1325	0	0.76	1318	0	0.76	1318	0	0.74	1324	0	0.76	1319	0	0.74	1324	0	0.74	1325	0	0.76	1318	0	0.76	1318	0	0.76	1319	0	
6	1200	1	1200	0.0008326394671107629	0.75	1331	0	0.75	1332	0	0.76	1325	0	0.75	1331	0	0.75	1331	0	0.75	1332	0	0.75	1335	0	0.76	1323	0	0.76	1325	0	0.75	1332	0	
7	1200	1	900	0.0008326394671107629	0.74	1350	0	0.73	1369	0	0.73	1363	0	0.74	1341	0	0.73	1372	0	0.74	1338	0	0.74	1344	0	0.73	1360	0	0.73	1367	0	0.74	1347	0	
8	1200	1	1100	0.0008326394671107629	0.73	1332	0	0.73	1331	0	0.73	1333	0	0.73	1344	0	0.73	1343	0	0.72	1338	0	0.73	1344	0	0.73	1332	0	0.73	1333	0	0.73	1333	0	
9	1200	1	700	0.0008326394671107629	0.64	1537	0	0.64	1537	0	0.64	1536	0	0.64	1536	0	0.64	1536	0	0.64	1536	0	0.64	1538	0	0.64	1537	0	0.64	1537	0	0.64	1538	0	
10	1200	1	500	0	0.34	2957	0	0.32	3055	0	0.34	2956	0	0.32	3053	0	0.32	3054	0	0.32	3054	0	0.32	3054	0	0.34	2957	0	0.34	2956	0	0.32	3056	0	
 


