




REPORT optimizer 0 :
config #	workerCPU	workerReplicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	Tenant-5 Throughtput	Tenant-5 avg Latency	Tenant-5 #Failures	Tenant-6 Throughtput	Tenant-6 avg Latency	Tenant-6 #Failures	Tenant-7 Throughtput	Tenant-7 avg Latency	Tenant-7 #Failures	Tenant-8 Throughtput	Tenant-8 avg Latency	Tenant-8 #Failures	Tenant-9 Throughtput	Tenant-9 avg Latency	Tenant-9 #Failures	
0	680	1	800	0.15106117353308368	0.56	1777	0	0.56	1774	0	0.56	1770	0	0.56	1774	0	0.56	1773	0	0.56	1772	0	0.56	1776	0	0.56	1771	0	0.56	1775	0	0.57	1756	0	
1	580	1	800	0	0.37	2633	0	0.39	2581	0	0.37	2629	0	0.39	2576	0	0.39	2575	0	0.37	2637	0	0.39	2572	0	0.37	2632	0	0.39	2579	0	0.39	2570	0	
2	560	1	800	0	0.39	2517	0	0.39	2499	0	0.39	2521	0	0.39	2525	0	0.39	2556	0	0.39	2503	0	0.39	2502	0	0.39	2514	0	0.39	2508	0	0.4	2493	0	
3	520	1	800	0	0.37	2681	0	0.35	2739	0	0.37	2697	0	0.37	2692	0	0.35	2748	0	0.35	2753	0	0.35	2742	0	0.37	2695	0	0.37	2688	0	0.35	2758	0	
4	740	1	800	0.07615480649188511	0.59	1662	0	0.59	1663	0	0.6	1650	0	0.59	1668	0	0.6	1649	0	0.6	1640	0	0.59	1667	0	0.6	1648	0	0.6	1648	0	0.6	1649	0	
5	680	1	800	0.15106117353308368	0.56	1777	0	0.56	1774	0	0.56	1770	0	0.56	1774	0	0.56	1773	0	0.56	1772	0	0.56	1776	0	0.56	1771	0	0.56	1775	0	0.57	1756	0	
6	780	1	800	0.02621722846441943	0.64	1518	0	0.65	1520	0	0.65	1506	0	0.65	1521	0	0.65	1506	0	0.64	1518	0	0.65	1519	0	0.65	1520	0	0.64	1517	0	0.65	1521	0	
7	760	1	800	0	0.44	2268	0	0.42	2294	0	0.44	2268	0	0.44	2247	0	0.44	2266	0	0.44	2267	0	0.44	2245	0	0.44	2270	0	0.44	2246	0	0.44	2266	0	
8	580	1	800	0	0.37	2633	0	0.39	2581	0	0.37	2629	0	0.39	2576	0	0.39	2575	0	0.37	2637	0	0.39	2572	0	0.37	2632	0	0.39	2579	0	0.39	2570	0	
9	700	1	800	0.1260923845193508	0.54	1835	0	0.55	1813	0	0.54	1836	0	0.54	1813	0	0.54	1814	0	0.54	1812	0	0.55	1812	0	0.54	1817	0	0.54	1814	0	0.54	1835	0	
10	600	1	800	0	0.42	2322	0	0.44	2276	0	0.42	2319	0	0.44	2287	0	0.44	2283	0	0.42	2318	0	0.42	2324	0	0.44	2279	0	0.44	2280	0	0.44	2285	0	
11	680	1	800	0.15106117353308368	0.56	1777	0	0.56	1774	0	0.56	1770	0	0.56	1774	0	0.56	1773	0	0.56	1772	0	0.56	1776	0	0.56	1771	0	0.56	1775	0	0.57	1756	0	
12	720	1	800	0.101123595505618	0.6	1652	0	0.6	1651	0	0.58	1647	0	0.58	1649	0	0.6	1633	0	0.6	1649	0	0.58	1645	0	0.6	1650	0	0.6	1651	0	0.58	1647	0	
13	640	1	800	0	0.5	1970	0	0.5	1971	0	0.5	1972	0	0.5	1974	0	0.49	2000	0	0.49	1999	0	0.5	1973	0	0.5	1976	0	0.49	1998	0	0.5	1976	0	
14	500	1	800	0	0.29	3525	0	0.27	3578	0	0.27	3634	0	0.27	3667	0	0.27	3646	0	0.27	3673	0	0.27	3654	0	0.27	3660	0	0.27	3570	0	0.27	3640	0	
15	620	1	800	0	0.45	2145	0	0.45	2135	0	0.45	2133	0	0.45	2131	0	0.45	2141	0	0.47	2129	0	0.45	2137	0	0.45	2142	0	0.47	2133	0	0.47	2130	0	
16	540	1	800	0	0.39	2594	0	0.39	2578	0	0.37	2618	0	0.37	2639	0	0.37	2630	0	0.37	2643	0	0.39	2583	0	0.37	2621	0	0.39	2590	0	0.37	2645	0	
17	520	1	800	0	0.37	2681	0	0.35	2739	0	0.37	2697	0	0.37	2692	0	0.35	2748	0	0.35	2753	0	0.35	2742	0	0.37	2695	0	0.37	2688	0	0.35	2758	0	
18	760	1	800	0	0.44	2268	0	0.42	2294	0	0.44	2268	0	0.44	2247	0	0.44	2266	0	0.44	2267	0	0.44	2245	0	0.44	2270	0	0.44	2246	0	0.44	2266	0	
19	620	1	800	0	0.45	2145	0	0.45	2135	0	0.45	2133	0	0.45	2131	0	0.45	2141	0	0.47	2129	0	0.45	2137	0	0.45	2142	0	0.47	2133	0	0.47	2130	0	
 


