"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","silver-0",31,0,1900,1890,1598,2163,19,0.52
"GET","silver-1",31,0,1900,1872,1452,2111,19,0.52
"GET","silver-10",31,0,1900,1892,1633,2149,19,0.52
"GET","silver-11",31,0,1900,1897,1589,2165,19,0.52
"GET","silver-12",31,0,1900,1871,1411,2103,19,0.52
"GET","silver-13",31,0,1900,1893,1591,2142,19,0.52
"GET","silver-14",31,0,1900,1898,1603,2153,19,0.52
"GET","silver-2",31,0,1900,1868,1329,2129,19,0.52
"GET","silver-3",31,0,1900,1874,1489,2120,19,0.52
"GET","silver-4",31,0,1900,1900,1608,2155,19,0.52
"GET","silver-5",31,0,1900,1896,1595,2148,19,0.52
"GET","silver-6",31,0,1900,1889,1538,2158,19,0.52
"GET","silver-7",31,0,1900,1895,1594,2151,19,0.52
"GET","silver-8",31,0,1900,1870,1369,2102,19,0.52
"GET","silver-9",32,0,1900,1873,1289,2138,19,0.53
"None","Total",466,0,1900,1885,1289,2165,19,7.78
