




REPORT optimizer 0 :
config #	workerCPU	workerReplicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	
0	120	1	500	0	0.03	30493	1	
1	260	1	500	0	0.27	3669	0	
2	320	1	500	0.36127744510978044	0.53	1912	0	
3	420	1	500	0.16167664670658688	0.83	1216	0	
4	440	1	500	0.1217564870259481	0.74	1346	0	
5	140	1	500	0	0.03	30621	1	
6	220	1	500	0	0.09	11702	1	
7	400	1	500	0.20159680638722555	0.69	1459	0	
8	160	1	500	0	0.03	30776	1	
9	380	1	500	0.24151696606786432	0.72	1394	0	
10	480	1	500	0.041916167664670656	0.99	1010	0	
11	360	1	500	0.281437125748503	0.71	1417	0	
12	160	1	500	0	0.03	30776	1	
13	460	1	500	0.08183632734530943	1.06	947	0	
14	320	1	500	0.36127744510978044	0.53	1912	0	
15	200	1	500	0	0.03	29084	1	
16	300	1	500	0	0.38	2660	0	
17	340	1	500	0.32135728542914177	0.56	1816	0	
18	100	1	500	0	0.03	30790	1	
19	260	1	500	0	0.27	3669	0	
20	200	1	500	0	0.03	29084	1	
 


