




REPORT optimizer 0 :
config #	workerCPU	workerReplicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	
0	380	1	800	0.052369077306733125	0.5	2022	0	0.5	2022	0	
1	370	1	800	0	0.45	2219	0	0.44	2208	0	
2	370	1	800	0	0.45	2219	0	0.44	2208	0	
3	370	1	800	0	0.45	2219	0	0.44	2208	0	
4	380	1	800	0.052369077306733125	0.5	2022	0	0.5	2022	0	
5	380	1	800	0.052369077306733125	0.5	2022	0	0.5	2022	0	
6	380	1	800	0.052369077306733125	0.5	2022	0	0.5	2022	0	
7	380	1	800	0.052369077306733125	0.5	2022	0	0.5	2022	0	
8	370	1	800	0	0.45	2219	0	0.44	2208	0	
9	380	1	800	0.052369077306733125	0.5	2022	0	0.5	2022	0	
10	370	1	800	0	0.45	2219	0	0.44	2208	0	
11	380	1	800	0.052369077306733125	0.5	2022	0	0.5	2022	0	
12	380	1	800	0.052369077306733125	0.5	2022	0	0.5	2022	0	
13	380	1	800	0.052369077306733125	0.5	2022	0	0.5	2022	0	
14	370	1	800	0	0.45	2219	0	0.44	2208	0	
15	370	1	800	0	0.45	2219	0	0.44	2208	0	
16	370	1	800	0	0.45	2219	0	0.44	2208	0	
17	370	1	800	0	0.45	2219	0	0.44	2208	0	
18	380	1	800	0.052369077306733125	0.5	2022	0	0.5	2022	0	
19	370	1	800	0	0.45	2219	0	0.44	2208	0	
 


