




REPORT optimizer 0 :
config #	workerCPU	workerReplicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	
0	500	1	800	0.040307101727447225	0.53	1896	0	0.53	1917	0	0.53	1895	0	0.51	1925	0	0.51	1926	0	
1	490	1	800	0	0.47	2109	0	0.47	2109	0	0.47	2108	0	0.47	2108	0	0.47	2108	0	
2	480	1	800	0	0.49	2026	0	0.5	1994	0	0.49	2001	0	0.49	2029	0	0.49	2028	0	
3	480	1	800	0	0.49	2026	0	0.5	1994	0	0.49	2001	0	0.49	2029	0	0.49	2028	0	
4	510	1	800	0.021113243761996192	0.57	1736	0	0.57	1739	0	0.57	1737	0	0.57	1737	0	0.57	1737	0	
5	500	1	800	0.040307101727447225	0.53	1896	0	0.53	1917	0	0.53	1895	0	0.51	1925	0	0.51	1926	0	
6	520	1	800	0	0.35	2803	0	0.35	2802	0	0.37	2719	0	0.35	2802	0	0.37	2717	0	
7	510	1	800	0.021113243761996192	0.57	1736	0	0.57	1739	0	0.57	1737	0	0.57	1737	0	0.57	1737	0	
8	490	1	800	0	0.47	2109	0	0.47	2109	0	0.47	2108	0	0.47	2108	0	0.47	2108	0	
9	500	1	800	0.040307101727447225	0.53	1896	0	0.53	1917	0	0.53	1895	0	0.51	1925	0	0.51	1926	0	
10	490	1	800	0	0.47	2109	0	0.47	2109	0	0.47	2108	0	0.47	2108	0	0.47	2108	0	
11	500	1	800	0.040307101727447225	0.53	1896	0	0.53	1917	0	0.53	1895	0	0.51	1925	0	0.51	1926	0	
12	510	1	800	0.021113243761996192	0.57	1736	0	0.57	1739	0	0.57	1737	0	0.57	1737	0	0.57	1737	0	
13	500	1	800	0.040307101727447225	0.53	1896	0	0.53	1917	0	0.53	1895	0	0.51	1925	0	0.51	1926	0	
14	480	1	800	0	0.49	2026	0	0.5	1994	0	0.49	2001	0	0.49	2029	0	0.49	2028	0	
15	490	1	800	0	0.47	2109	0	0.47	2109	0	0.47	2108	0	0.47	2108	0	0.47	2108	0	
16	480	1	800	0	0.49	2026	0	0.5	1994	0	0.49	2001	0	0.49	2029	0	0.49	2028	0	
17	480	1	800	0	0.49	2026	0	0.5	1994	0	0.49	2001	0	0.49	2029	0	0.49	2028	0	
18	510	1	800	0.021113243761996192	0.57	1736	0	0.57	1739	0	0.57	1737	0	0.57	1737	0	0.57	1737	0	
19	490	1	800	0	0.47	2109	0	0.47	2109	0	0.47	2108	0	0.47	2108	0	0.47	2108	0	
 


