




REPORT optimizer 0 :
config #	workerCPU	workerReplicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	Tenant-5 Throughtput	Tenant-5 avg Latency	Tenant-5 #Failures	
0	530	1	800	0	0.47	2135	0	0.45	2140	0	0.45	2175	0	0.45	2144	0	0.45	2141	0	0.47	2135	0	
1	510	1	800	0	0.42	2380	0	0.4	2395	0	0.4	2396	0	0.4	2390	0	0.42	2378	0	0.42	2380	0	
2	500	1	800	0	0.46	2181	0	0.46	2180	0	0.46	2183	0	0.46	2179	0	0.46	2186	0	0.44	2218	0	
3	490	1	800	0	0.4	2468	0	0.4	2466	0	0.39	2527	0	0.4	2465	0	0.4	2470	0	0.4	2467	0	
4	560	1	800	0.03614457831325302	0.61	1639	0	0.61	1639	0	0.61	1638	0	0.61	1639	0	0.61	1639	0	0.61	1631	0	
5	540	1	800	0.07056798623063687	0.54	1801	0	0.55	1805	0	0.54	1803	0	0.54	1829	0	0.55	1805	0	0.55	1805	0	
6	570	1	800	0	0.36	2776	0	0.37	2696	0	0.36	2776	0	0.37	2695	0	0.37	2696	0	0.37	2695	0	
7	570	1	800	0	0.36	2776	0	0.37	2696	0	0.36	2776	0	0.37	2695	0	0.37	2696	0	0.37	2695	0	
8	500	1	800	0	0.46	2181	0	0.46	2180	0	0.46	2183	0	0.46	2179	0	0.46	2186	0	0.44	2218	0	
9	550	1	800	0	0.48	2066	0	0.49	2032	0	0.48	2068	0	0.49	2033	0	0.49	2032	0	0.48	2065	0	
10	510	1	800	0	0.42	2380	0	0.4	2395	0	0.4	2396	0	0.4	2390	0	0.42	2378	0	0.42	2380	0	
11	550	1	800	0	0.48	2066	0	0.49	2032	0	0.48	2068	0	0.49	2033	0	0.49	2032	0	0.48	2065	0	
12	550	1	800	0	0.48	2066	0	0.49	2032	0	0.48	2068	0	0.49	2033	0	0.49	2032	0	0.48	2065	0	
13	530	1	800	0	0.47	2135	0	0.45	2140	0	0.45	2175	0	0.45	2144	0	0.45	2141	0	0.47	2135	0	
14	480	1	800	0	0.46	2172	0	0.45	2210	0	0.46	2179	0	0.45	2211	0	0.45	2213	0	0.46	2174	0	
15	520	1	800	0.10499139414802061	0.52	1898	0	0.52	1897	0	0.52	1897	0	0.52	1898	0	0.54	1871	0	0.52	1898	0	
16	500	1	800	0	0.46	2181	0	0.46	2180	0	0.46	2183	0	0.46	2179	0	0.46	2186	0	0.44	2218	0	
17	480	1	800	0	0.46	2172	0	0.45	2210	0	0.46	2179	0	0.45	2211	0	0.45	2213	0	0.46	2174	0	
18	570	1	800	0	0.36	2776	0	0.37	2696	0	0.36	2776	0	0.37	2695	0	0.37	2696	0	0.37	2695	0	
19	520	1	800	0.10499139414802061	0.52	1898	0	0.52	1897	0	0.52	1897	0	0.52	1898	0	0.54	1871	0	0.52	1898	0	
 


