




REPORT optimizer 0 :
config #	workerCPU	workerReplicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	Tenant-5 Throughtput	Tenant-5 avg Latency	Tenant-5 #Failures	Tenant-6 Throughtput	Tenant-6 avg Latency	Tenant-6 #Failures	
0	550	1	800	0	0.44	2267	0	0.44	2265	0	0.44	2264	0	0.45	2221	0	0.44	2250	0	0.44	2263	0	0.44	2250	0	
1	530	1	800	0	0.47	2123	0	0.45	2160	0	0.47	2122	0	0.45	2159	0	0.47	2121	0	0.45	2127	0	0.47	2121	0	
2	530	1	800	0	0.47	2123	0	0.45	2160	0	0.47	2122	0	0.45	2159	0	0.47	2121	0	0.45	2127	0	0.47	2121	0	
3	520	1	800	0	0.37	2666	0	0.39	2601	0	0.37	2654	0	0.37	2656	0	0.37	2660	0	0.37	2662	0	0.37	2671	0	
4	570	1	800	0.018932874354561147	0.54	1867	0	0.54	1867	0	0.52	1871	0	0.52	1892	0	0.52	1870	0	0.52	1871	0	0.52	1893	0	
5	550	1	800	0	0.44	2267	0	0.44	2265	0	0.44	2264	0	0.45	2221	0	0.44	2250	0	0.44	2263	0	0.44	2250	0	
6	570	1	800	0.018932874354561147	0.54	1867	0	0.54	1867	0	0.52	1871	0	0.52	1892	0	0.52	1870	0	0.52	1871	0	0.52	1893	0	
7	570	1	800	0.018932874354561147	0.54	1867	0	0.54	1867	0	0.52	1871	0	0.52	1892	0	0.52	1870	0	0.52	1871	0	0.52	1893	0	
8	530	1	800	0	0.47	2123	0	0.45	2160	0	0.47	2122	0	0.45	2159	0	0.47	2121	0	0.45	2127	0	0.47	2121	0	
9	560	1	800	0.03614457831325302	0.5	1958	0	0.5	1957	0	0.5	1958	0	0.5	1961	0	0.5	1959	0	0.52	1933	0	0.5	1962	0	
10	540	1	800	0	0.44	2250	0	0.45	2209	0	0.44	2250	0	0.45	2209	0	0.44	2253	0	0.45	2210	0	0.44	2252	0	
11	560	1	800	0.03614457831325302	0.5	1958	0	0.5	1957	0	0.5	1958	0	0.5	1961	0	0.5	1959	0	0.52	1933	0	0.5	1962	0	
12	560	1	800	0.03614457831325302	0.5	1958	0	0.5	1957	0	0.5	1958	0	0.5	1961	0	0.5	1959	0	0.52	1933	0	0.5	1962	0	
13	550	1	800	0	0.44	2267	0	0.44	2265	0	0.44	2264	0	0.45	2221	0	0.44	2250	0	0.44	2263	0	0.44	2250	0	
14	520	1	800	0	0.37	2666	0	0.39	2601	0	0.37	2654	0	0.37	2656	0	0.37	2660	0	0.37	2662	0	0.37	2671	0	
15	540	1	800	0	0.44	2250	0	0.45	2209	0	0.44	2250	0	0.45	2209	0	0.44	2253	0	0.45	2210	0	0.44	2252	0	
16	530	1	800	0	0.47	2123	0	0.45	2160	0	0.47	2122	0	0.45	2159	0	0.47	2121	0	0.45	2127	0	0.47	2121	0	
17	520	1	800	0	0.37	2666	0	0.39	2601	0	0.37	2654	0	0.37	2656	0	0.37	2660	0	0.37	2662	0	0.37	2671	0	
18	570	1	800	0.018932874354561147	0.54	1867	0	0.54	1867	0	0.52	1871	0	0.52	1892	0	0.52	1870	0	0.52	1871	0	0.52	1893	0	
19	540	1	800	0	0.44	2250	0	0.45	2209	0	0.44	2250	0	0.45	2209	0	0.44	2253	0	0.45	2210	0	0.44	2252	0	
 


