




REPORT optimizer 0 :
config #	workerCPU	workerReplicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	Tenant-5 Throughtput	Tenant-5 avg Latency	Tenant-5 #Failures	Tenant-6 Throughtput	Tenant-6 avg Latency	Tenant-6 #Failures	Tenant-7 Throughtput	Tenant-7 avg Latency	Tenant-7 #Failures	
0	550	1	800	0	0.47	2097	0	0.47	2113	0	0.45	2133	0	0.47	2115	0	0.47	2111	0	0.47	2095	0	0.47	2098	0	0.45	2133	0	
1	500	1	800	0	0.34	2963	0	0.34	2965	0	0.34	2960	0	0.34	2973	0	0.34	2969	0	0.32	3054	0	0.32	3057	0	0.32	3059	0	
2	480	1	800	0	0.27	3645	0	0.27	3622	0	0.27	3611	0	0.27	3670	0	0.27	3657	0	0.27	3661	0	0.27	3666	0	0.29	3522	0	
3	460	1	800	0	0.22	4514	0	0.22	4539	0	0.22	4533	0	0.22	4545	0	0.22	4442	0	0.22	4522	0	0.22	4529	0	0.22	4520	0	
4	600	1	800	0.06396255850234012	0.57	1747	0	0.57	1745	0	0.56	1764	0	0.57	1748	0	0.57	1745	0	0.56	1765	0	0.56	1765	0	0.56	1766	0	
5	570	1	800	0	0.47	2069	0	0.49	2048	0	0.49	2036	0	0.47	2068	0	0.49	2049	0	0.47	2072	0	0.49	2050	0	0.47	2070	0	
6	630	1	800	0.01716068642745705	0.52	1892	0	0.52	1891	0	0.52	1892	0	0.54	1868	0	0.54	1870	0	0.52	1893	0	0.52	1873	0	0.52	1872	0	
7	610	1	800	0.04836193447737913	0.54	1856	0	0.54	1858	0	0.52	1881	0	0.52	1880	0	0.54	1856	0	0.54	1860	0	0.52	1882	0	0.52	1882	0	
8	490	1	800	0	0.32	3101	0	0.32	3087	0	0.32	3095	0	0.32	3105	0	0.32	3084	0	0.32	3106	0	0.32	3098	0	0.32	3092	0	
9	580	1	800	0	0.5	1965	0	0.5	1971	0	0.5	1967	0	0.49	1986	0	0.5	1969	0	0.5	1969	0	0.5	1967	0	0.5	1972	0	
10	510	1	800	0	0.41	2448	0	0.42	2393	0	0.41	2439	0	0.41	2433	0	0.41	2433	0	0.41	2444	0	0.41	2438	0	0.41	2436	0	
11	570	1	800	0	0.47	2069	0	0.49	2048	0	0.49	2036	0	0.47	2068	0	0.49	2049	0	0.47	2072	0	0.49	2050	0	0.47	2070	0	
12	590	1	800	0.0795631825273011	0.54	1836	0	0.54	1850	0	0.54	1850	0	0.54	1839	0	0.52	1860	0	0.54	1835	0	0.54	1837	0	0.52	1859	0	
13	540	1	800	0	0.33	2940	0	0.33	2945	0	0.33	2889	0	0.33	2942	0	0.33	2939	0	0.33	2892	0	0.33	2897	0	0.33	2946	0	
14	440	1	800	0	0.3	3198	0	0.3	3208	0	0.3	3201	0	0.32	3111	0	0.3	3192	0	0.3	3214	0	0.32	3119	0	0.32	3106	0	
15	530	1	800	0	0.44	2291	0	0.42	2326	0	0.42	2330	0	0.44	2290	0	0.42	2335	0	0.44	2287	0	0.42	2321	0	0.42	2329	0	
16	470	1	800	0	0.29	3413	0	0.3	3298	0	0.29	3408	0	0.3	3289	0	0.29	3397	0	0.29	3405	0	0.29	3401	0	0.3	3284	0	
17	450	1	800	0	0.3	3261	0	0.3	3266	0	0.3	3280	0	0.29	3383	0	0.3	3289	0	0.29	3375	0	0.3	3277	0	0.29	3369	0	
18	620	1	800	0.032761310452418146	0.56	1787	0	0.56	1784	0	0.54	1806	0	0.56	1790	0	0.56	1791	0	0.56	1788	0	0.56	1785	0	0.56	1785	0	
19	520	1	800	0	0.39	2537	0	0.39	2531	0	0.39	2540	0	0.37	2593	0	0.37	2597	0	0.37	2588	0	0.39	2543	0	0.39	2578	0	
 


