




REPORT optimizer 0 :
config #	workerCPU	workerReplicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	Tenant-5 Throughtput	Tenant-5 avg Latency	Tenant-5 #Failures	Tenant-6 Throughtput	Tenant-6 avg Latency	Tenant-6 #Failures	Tenant-7 Throughtput	Tenant-7 avg Latency	Tenant-7 #Failures	Tenant-8 Throughtput	Tenant-8 avg Latency	Tenant-8 #Failures	
0	560	1	800	0	0.42	2338	0	0.42	2335	0	0.42	2328	0	0.42	2331	0	0.42	2340	0	0.41	2379	0	0.42	2334	0	0.42	2342	0	0.42	2327	0	
1	460	1	800	0	0.2	4778	0	0.2	4819	0	0.22	4584	0	0.22	4570	0	0.2	4828	0	0.2	4843	0	0.22	4577	0	0.22	4556	0	0.2	4804	0	
2	440	1	800	0	0.22	4554	0	0.22	4539	0	0.2	4627	0	0.2	4587	0	0.2	4818	0	0.22	4564	0	0.22	4546	0	0.22	4532	0	0.22	4569	0	
3	400	1	800	0	0.17	5535	0	0.17	5554	0	0.18	5441	0	0.17	5695	0	0.17	5677	0	0.17	5598	0	0.17	5656	0	0.17	5581	0	0.17	5616	0	
4	620	1	800	0	0.47	2069	0	0.49	2051	0	0.49	2048	0	0.47	2067	0	0.47	2071	0	0.49	2050	0	0.49	2037	0	0.49	2035	0	0.47	2069	0	
5	560	1	800	0	0.42	2338	0	0.42	2335	0	0.42	2328	0	0.42	2331	0	0.42	2340	0	0.41	2379	0	0.42	2334	0	0.42	2342	0	0.42	2327	0	
6	660	1	800	0.03083700440528636	0.57	1702	0	0.59	1687	0	0.59	1683	0	0.59	1684	0	0.59	1686	0	0.59	1688	0	0.59	1690	0	0.59	1688	0	0.59	1684	0	
7	640	1	800	0.0602055800293686	0.55	1799	0	0.55	1801	0	0.55	1803	0	0.54	1822	0	0.54	1823	0	0.55	1799	0	0.54	1804	0	0.54	1822	0	0.54	1804	0	
8	460	1	800	0	0.2	4778	0	0.2	4819	0	0.22	4584	0	0.22	4570	0	0.2	4828	0	0.2	4843	0	0.22	4577	0	0.22	4556	0	0.2	4804	0	
9	580	1	800	0	0.45	2172	0	0.45	2164	0	0.45	2163	0	0.45	2167	0	0.45	2161	0	0.47	2133	0	0.45	2169	0	0.47	2134	0	0.45	2166	0	
10	480	1	800	0	0.29	3378	0	0.29	3364	0	0.29	3389	0	0.29	3410	0	0.29	3401	0	0.29	3383	0	0.29	3394	0	0.3	3326	0	0.29	3372	0	
11	560	1	800	0	0.42	2338	0	0.42	2335	0	0.42	2328	0	0.42	2331	0	0.42	2340	0	0.41	2379	0	0.42	2334	0	0.42	2342	0	0.42	2327	0	
12	600	1	800	0	0.46	2152	0	0.46	2147	0	0.46	2150	0	0.47	2117	0	0.46	2155	0	0.47	2130	0	0.46	2153	0	0.46	2157	0	0.47	2119	0	
13	520	1	800	0	0.35	2786	0	0.35	2791	0	0.34	2854	0	0.34	2857	0	0.34	2861	0	0.35	2828	0	0.35	2783	0	0.35	2777	0	0.35	2779	0	
14	380	1	800	0	0.15	6417	0	0.15	6383	0	0.15	6460	0	0.14	6782	0	0.15	6437	0	0.15	6519	0	0.15	6490	0	0.14	6670	0	0.14	6854	0	
15	500	1	800	0	0.34	2935	0	0.34	2927	0	0.34	2940	0	0.34	2904	0	0.34	2895	0	0.34	2931	0	0.34	2899	0	0.34	2944	0	0.34	2912	0	
16	420	1	800	0	0.22	4539	0	0.22	4484	0	0.22	4491	0	0.22	4519	0	0.2	4751	0	0.22	4476	0	0.22	4553	0	0.22	4511	0	0.22	4500	0	
17	400	1	800	0	0.17	5535	0	0.17	5554	0	0.18	5441	0	0.17	5695	0	0.17	5677	0	0.17	5598	0	0.17	5656	0	0.17	5581	0	0.17	5616	0	
18	640	1	800	0.0602055800293686	0.55	1799	0	0.55	1801	0	0.55	1803	0	0.54	1822	0	0.54	1823	0	0.55	1799	0	0.54	1804	0	0.54	1822	0	0.54	1804	0	
19	500	1	800	0	0.34	2935	0	0.34	2927	0	0.34	2940	0	0.34	2904	0	0.34	2895	0	0.34	2931	0	0.34	2899	0	0.34	2944	0	0.34	2912	0	
 


