"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",3,15000,15000,15000,15000,15000,15000,15000,15000,15000
"GET silver-1",3,16000,16000,26000,26000,26000,26000,26000,26000,26000
"GET silver-2",3,16000,16000,17000,17000,17000,17000,17000,17000,17000
"GET silver-3",3,16000,16000,25000,25000,25000,25000,25000,25000,25000
"GET silver-4",3,16000,16000,19000,19000,19000,19000,19000,19000,19000
"GET silver-5",3,16000,16000,23000,23000,23000,23000,23000,23000,23000
"GET silver-6",3,16000,16000,21000,21000,21000,21000,21000,21000,21000
"GET silver-7",3,16000,16000,28000,28000,28000,28000,28000,28000,28000
"Total",24,16000,16000,19000,21000,25000,26000,28000,28000,28000
