"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",3,0,14000,16357,11702,22985,19,0.05
"GET","gold-1",3,0,14000,17121,12400,25074,19,0.05
"GET","gold-2",3,0,13000,15498,12901,20496,19,0.05
"GET","gold-3",4,0,13000,13264,11806,14786,19,0.07
"GET","gold-4",3,0,15000,15104,13693,16520,19,0.05
"GET","gold-5",3,0,14000,15069,13893,17118,19,0.05
"GET","gold-6",3,0,18000,18647,12087,25762,19,0.05
"GET","gold-7",3,0,15000,16360,13886,20499,19,0.05
"GET","gold-8",4,0,12000,13387,11905,15639,19,0.07
"None","Total",29,0,14000,15485,11702,25762,19,0.51
