"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET gold-0",34,1700,1700,1800,1800,2000,2600,3200,3200,3200
"GET gold-1",34,1700,1700,1800,1800,1900,2300,2600,2600,2600
"GET gold-2",34,1700,1800,1800,1900,1900,2400,2900,2900,2900
"GET gold-3",34,1700,1800,1800,1800,2000,2800,2800,2800,2800
"GET gold-4",36,1600,1700,1800,1800,1800,2100,2600,2600,2600
"GET gold-5",34,1700,1700,1800,1800,2000,2600,3200,3200,3200
"GET gold-6",36,1700,1700,1800,1800,1900,2600,3000,3000,3000
"GET gold-7",34,1700,1800,1800,1900,1900,2800,2800,2800,2800
"GET gold-8",34,1700,1700,1700,1900,2000,2200,2600,2600,2600
"GET gold-9",34,1600,1700,1800,1900,2000,2600,2900,2900,2900
"Total",344,1700,1700,1800,1800,1900,2500,2800,2900,3200
