"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",12,0,2800,4678,1355,12192,19,0.20
"GET","gold-1",13,0,2800,4470,689,12213,19,0.22
"GET","gold-2",19,0,2000,2979,244,13201,19,0.32
"GET","gold-3",13,0,2400,4268,798,13661,19,0.22
"GET","gold-4",18,0,1600,3145,235,11928,19,0.31
"GET","gold-5",16,0,2100,3616,403,12119,19,0.27
"GET","gold-6",17,1,1300,3449,494,30141,17,0.29
"GET","gold-7",18,0,1500,3120,506,12300,19,0.31
"GET","gold-8",14,0,2400,4125,716,13666,19,0.24
"GET","gold-9",13,0,2400,4483,931,13691,19,0.22
"None","Total",153,1,2000,3736,235,30141,18,2.60
