"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",32,0,1900,1838,675,2115,19,0.54
"GET","gold-1",31,0,1900,1872,1160,2203,19,0.52
"GET","gold-10",31,0,1900,1882,1400,2120,19,0.52
"GET","gold-2",31,0,1900,1889,1687,2106,19,0.52
"GET","gold-3",31,0,1900,1878,1364,2079,19,0.52
"GET","gold-4",32,0,1900,1852,737,2118,19,0.54
"GET","gold-5",32,0,1900,1865,897,2122,19,0.54
"GET","gold-6",31,0,1900,1870,1064,2133,19,0.52
"GET","gold-7",32,0,1900,1862,792,2147,19,0.54
"GET","gold-8",31,0,1900,1891,1737,2086,19,0.52
"GET","gold-9",31,0,1900,1870,998,2104,19,0.52
"None","Total",345,0,1900,1870,675,2203,19,5.81
